PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.4797e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.51253e+03	1.19131e+02	1.98827e-04	7.01215e-11	5.92221e+01	-7.51903e+02	3.48007e+02	7.87630e-02
2.14286e+06	1.51938e+03	9.91751e+01	1.18229e-04	7.04391e-11	6.85336e+01	-1.04995e+03	3.48006e+02	6.52735e-02
1.53061e+06	1.53100e+03	8.05599e+01	6.85983e-05	7.09781e-11	7.68727e+01	-1.46093e+03	3.48002e+02	5.26190e-02
1.09329e+06	1.54147e+03	6.70804e+01	4.08001e-05	7.14632e-11	8.84789e+01	-2.03319e+03	3.48000e+02	4.35172e-02
7.80925e+05	1.54852e+03	5.69842e+01	2.47567e-05	7.17900e-11	1.04327e+02	-2.83504e+03	3.47997e+02	3.67992e-02
5.57803e+05	1.55639e+03	4.89404e+01	1.51872e-05	7.21552e-11	1.24220e+02	-3.95041e+03	3.47995e+02	3.14448e-02
3.98431e+05	1.56368e+03	4.26020e+01	9.44304e-06	7.24929e-11	1.50014e+02	-5.50616e+03	3.47992e+02	2.72447e-02
2.84594e+05	1.57031e+03	3.76335e+01	5.95839e-06	7.28005e-11	1.83993e+02	-7.67735e+03	3.47991e+02	2.39656e-02
2.03281e+05	1.57629e+03	3.36395e+01	3.80431e-06	7.30775e-11	2.28536e+02	-1.07088e+04	3.47990e+02	2.13410e-02
1.45201e+05	1.58189e+03	3.04739e+01	2.46165e-06	7.33372e-11	2.87818e+02	-1.49405e+04	3.47989e+02	1.92642e-02
1.03715e+05	1.58709e+03	2.79307e+01	1.61158e-06	7.35782e-11	3.66925e+02	-2.08495e+04	3.47987e+02	1.75987e-02
7.40820e+04	1.59206e+03	2.59742e+01	1.07050e-06	7.38087e-11	4.74753e+02	-2.90994e+04	3.47983e+02	1.63149e-02
5.29157e+04	1.59684e+03	2.45363e+01	7.22310e-07	7.40304e-11	6.24123e+02	-4.06184e+04	3.47983e+02	1.53655e-02
3.77969e+04	1.60140e+03	2.33629e+01	4.91262e-07	7.42417e-11	8.27276e+02	-5.67052e+04	3.47982e+02	1.45891e-02
2.69978e+04	1.60592e+03	2.24431e+01	3.37086e-07	7.44515e-11	1.10635e+03	-7.91650e+04	3.47980e+02	1.39752e-02
1.92842e+04	1.61031e+03	2.17322e+01	2.33149e-07	7.46546e-11	1.49169e+03	-1.10531e+05	3.47980e+02	1.34957e-02
1.37744e+04	1.61456e+03	2.11708e+01	1.62233e-07	7.48518e-11	2.02373e+03	-1.54337e+05	3.47977e+02	1.31124e-02
9.83886e+03	1.61873e+03	2.07827e+01	1.13757e-07	7.50450e-11	2.76701e+03	-2.15517e+05	3.47977e+02	1.28389e-02
7.02775e+03	1.62291e+03	2.06173e+01	8.06079e-08	7.52387e-11	3.82323e+03	-3.00948e+05	3.47971e+02	1.27039e-02
5.01983e+03	1.62702e+03	2.06898e+01	5.77795e-08	7.54293e-11	5.34424e+03	-4.20263e+05	3.47974e+02	1.27164e-02
3.58559e+03	1.63124e+03	2.08869e+01	4.16643e-08	7.56251e-11	7.51414e+03	-5.86844e+05	3.47973e+02	1.28043e-02
2.56114e+03	1.63555e+03	2.13039e+01	3.03543e-08	7.58248e-11	1.06733e+04	-8.19413e+05	3.47971e+02	1.30255e-02
1.82938e+03	1.63988e+03	2.17062e+01	2.20911e-08	7.60255e-11	1.51444e+04	-1.14414e+06	3.47969e+02	1.32365e-02
1.30670e+03	1.64454e+03	2.22617e+01	1.61832e-08	7.62417e-11	2.16214e+04	-1.59724e+06	3.47969e+02	1.35367e-02
9.33358e+02	1.64935e+03	2.28512e+01	1.18655e-08	7.64648e-11	3.08903e+04	-2.22960e+06	3.47968e+02	1.38546e-02
6.66685e+02	1.65428e+03	2.33912e+01	8.67564e-09	7.66931e-11	4.40048e+04	-3.11212e+06	3.47965e+02	1.41398e-02
4.76203e+02	1.65925e+03	2.38670e+01	6.32294e-09	7.69237e-11	6.24833e+04	-4.34388e+06	3.47965e+02	1.43842e-02
3.40145e+02	1.66410e+03	2.44121e+01	4.61954e-09	7.71485e-11	8.89530e+04	-6.06366e+06	3.47963e+02	1.46699e-02
2.42961e+02	1.66898e+03	2.51983e+01	3.40594e-09	7.73749e-11	1.27792e+05	-8.46418e+06	3.47960e+02	1.50980e-02
1.73543e+02	1.67391e+03	2.62930e+01	2.53850e-09	7.76034e-11	1.85580e+05	-1.18147e+07	3.47961e+02	1.57075e-02
1.23960e+02	1.67890e+03	2.78869e+01	1.92313e-09	7.78348e-11	2.73918e+05	-1.64910e+07	3.47958e+02	1.66102e-02
8.85426e+01	1.68429e+03	3.00941e+01	1.48239e-09	7.80844e-11	4.11178e+05	-2.30126e+07	3.47958e+02	1.78676e-02
6.32447e+01	1.68996e+03	3.26946e+01	1.15035e-09	7.83472e-11	6.21170e+05	-3.21078e+07	3.47955e+02	1.93464e-02
4.51748e+01	1.69650e+03	3.62729e+01	9.11606e-10	7.86505e-11	9.57309e+05	-4.47738e+07	3.47954e+02	2.13810e-02
3.22677e+01	1.70421e+03	4.04284e+01	7.25744e-10	7.90082e-11	1.48012e+06	-6.23930e+07	3.47953e+02	2.37226e-02
