PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.8594e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	4.50594e+02	3.94471e+01	6.58363e-05	2.08898e-11	2.20637e+02	-2.52028e+03	2.85966e+02	8.75445e-02
2.14286e+06	4.58052e+02	3.68720e+01	4.39561e-05	2.12355e-11	2.79731e+02	-3.47503e+03	2.85965e+02	8.04974e-02
1.53061e+06	4.65103e+02	3.56746e+01	3.03776e-05	2.15624e-11	3.67723e+02	-4.79414e+03	2.85962e+02	7.67027e-02
1.09329e+06	4.72540e+02	3.48645e+01	2.12055e-05	2.19072e-11	4.87623e+02	-6.60905e+03	2.85961e+02	7.37811e-02
7.80925e+05	4.79610e+02	3.39734e+01	1.47597e-05	2.22349e-11	6.46030e+02	-9.12014e+03	2.85957e+02	7.08356e-02
5.57803e+05	4.86578e+02	3.32868e+01	1.03296e-05	2.25580e-11	8.61252e+02	-1.25896e+04	2.85955e+02	6.84100e-02
3.98431e+05	4.93470e+02	3.26809e+01	7.24396e-06	2.28775e-11	1.15131e+03	-1.73843e+04	2.85953e+02	6.62267e-02
2.84594e+05	5.00279e+02	3.21438e+01	5.08921e-06	2.31932e-11	1.54287e+03	-2.40130e+04	2.85953e+02	6.42517e-02
2.03281e+05	5.06979e+02	3.16657e+01	3.58110e-06	2.35038e-11	2.07250e+03	-3.31813e+04	2.85952e+02	6.24597e-02
1.45201e+05	5.13707e+02	3.12343e+01	2.52307e-06	2.38157e-11	2.78805e+03	-4.58548e+04	2.85949e+02	6.08017e-02
1.03715e+05	5.20266e+02	3.07845e+01	1.77624e-06	2.41198e-11	3.75141e+03	-6.33999e+04	2.85949e+02	5.91707e-02
7.40820e+04	5.26748e+02	3.03551e+01	1.25105e-06	2.44203e-11	5.05295e+03	-8.76832e+04	2.85946e+02	5.76273e-02
5.29157e+04	5.33156e+02	2.98896e+01	8.79902e-07	2.47174e-11	6.80043e+03	-1.21303e+05	2.85943e+02	5.60617e-02
3.77969e+04	5.39415e+02	2.94703e+01	6.19684e-07	2.50075e-11	9.17191e+03	-1.67880e+05	2.85940e+02	5.46338e-02
2.69978e+04	5.45541e+02	2.90638e+01	4.36526e-07	2.52916e-11	1.23825e+04	-2.32426e+05	2.85940e+02	5.32751e-02
1.92842e+04	5.51512e+02	2.87648e+01	3.08596e-07	2.55684e-11	1.67897e+04	-3.21911e+05	2.85938e+02	5.21562e-02
1.37744e+04	5.57430e+02	2.85744e+01	2.18967e-07	2.58427e-11	2.28590e+04	-4.45933e+05	2.85939e+02	5.12610e-02
9.83886e+03	5.63322e+02	2.85724e+01	1.56394e-07	2.61159e-11	3.13361e+04	-6.17810e+05	2.85938e+02	5.07213e-02
