PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9493e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	9.80344e+02	1.51129e+02	2.52231e-04	4.54492e-11	1.75769e+02	-1.14018e+03	2.94957e+02	1.54159e-01
2.14286e+06	1.00465e+03	1.47531e+02	1.75875e-04	4.65762e-11	2.29226e+02	-1.56098e+03	2.94953e+02	1.46847e-01
1.53061e+06	1.03293e+03	1.42727e+02	1.21534e-04	4.78871e-11	2.94413e+02	-2.13070e+03	2.94948e+02	1.38177e-01
1.09329e+06	1.05886e+03	1.38768e+02	8.44027e-05	4.90891e-11	3.82081e+02	-2.91543e+03	2.94943e+02	1.31055e-01
7.80925e+05	1.08424e+03	1.35925e+02	5.90523e-05	5.02659e-11	5.00423e+02	-3.99176e+03	2.94942e+02	1.25364e-01
5.57803e+05	1.11081e+03	1.33651e+02	4.14747e-05	5.14975e-11	6.57121e+02	-5.46149e+03	2.94941e+02	1.20319e-01
3.98431e+05	1.13720e+03	1.31897e+02	2.92359e-05	5.27212e-11	8.67112e+02	-7.47615e+03	2.94937e+02	1.15984e-01
2.84594e+05	1.16263e+03	1.30387e+02	2.06437e-05	5.39002e-11	1.14913e+03	-1.02465e+04	2.94934e+02	1.12148e-01
2.03281e+05	1.18857e+03	1.29214e+02	1.46129e-05	5.51029e-11	1.52662e+03	-1.40426e+04	2.94933e+02	1.08713e-01
1.45201e+05	1.21404e+03	1.28341e+02	1.03672e-05	5.62833e-11	2.03600e+03	-1.92595e+04	2.94934e+02	1.05714e-01
1.03715e+05	1.23964e+03	1.27518e+02	7.35769e-06	5.74705e-11	2.71792e+03	-2.64218e+04	2.94932e+02	1.02867e-01
7.40820e+04	1.26514e+03	1.26820e+02	5.22674e-06	5.86525e-11	3.63520e+03	-3.62642e+04	2.94930e+02	1.00242e-01
5.29157e+04	1.29027e+03	1.26191e+02	3.71487e-06	5.98175e-11	4.87103e+03	-4.98049e+04	2.94931e+02	9.78022e-02
3.77969e+04	1.31516e+03	1.25605e+02	2.64114e-06	6.09715e-11	6.53612e+03	-6.84373e+04	2.94928e+02	9.55052e-02
2.69978e+04	1.34063e+03	1.25204e+02	1.88051e-06	6.21524e-11	8.78153e+03	-9.40290e+04	2.94928e+02	9.33917e-02
1.92842e+04	1.36537e+03	1.24924e+02	1.34022e-06	6.32993e-11	1.18303e+04	-1.29301e+05	2.94925e+02	9.14949e-02
1.37744e+04	1.39009e+03	1.24786e+02	9.56239e-07	6.44454e-11	1.59658e+04	-1.77857e+05	2.94925e+02	8.97679e-02
9.83886e+03	1.41494e+03	1.24701e+02	6.82563e-07	6.55974e-11	2.15655e+04	-2.44697e+05	2.94923e+02	8.81313e-02
7.02775e+03	1.43911e+03	1.24565e+02	4.87015e-07	6.67178e-11	2.91624e+04	-3.36915e+05	2.94920e+02	8.65572e-02
