PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0496e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.43627e+03	5.21723e+02	8.70744e-04	1.12947e-10	9.61757e+01	-4.49109e+02	3.04927e+02	2.14148e-01
2.14286e+06	2.52659e+03	4.68698e+02	5.58748e-04	1.17134e-10	1.13712e+02	-6.12985e+02	3.04929e+02	1.85506e-01
1.53061e+06	2.61458e+03	4.20079e+02	3.57706e-04	1.21213e-10	1.34359e+02	-8.36251e+02	3.04928e+02	1.60668e-01
1.09329e+06	2.69305e+03	3.79487e+02	2.30815e-04	1.24851e-10	1.61103e+02	-1.14328e+03	3.04934e+02	1.40913e-01
7.80925e+05	2.76071e+03	3.44776e+02	1.49787e-04	1.27988e-10	1.95812e+02	-1.56791e+03	3.04933e+02	1.24887e-01
5.57803e+05	2.82498e+03	3.14349e+02	9.75489e-05	1.30968e-10	2.39457e+02	-2.15194e+03	3.04935e+02	1.11275e-01
3.98431e+05	2.88343e+03	2.88084e+02	6.38560e-05	1.33677e-10	2.95600e+02	-2.95866e+03	3.04934e+02	9.99101e-02
2.84594e+05	2.93534e+03	2.65036e+02	4.19623e-05	1.36084e-10	3.68051e+02	-4.07626e+03	3.04934e+02	9.02913e-02
2.03281e+05	2.98547e+03	2.45224e+02	2.77325e-05	1.38408e-10	4.61522e+02	-5.61879e+03	3.04935e+02	8.21391e-02
1.45201e+05	3.03198e+03	2.27750e+02	1.83974e-05	1.40564e-10	5.82458e+02	-7.75412e+03	3.04935e+02	7.51160e-02
1.03715e+05	3.07546e+03	2.12480e+02	1.22599e-05	1.42580e-10	7.40051e+02	-1.07116e+04	3.04935e+02	6.90889e-02
7.40820e+04	3.11630e+03	1.98966e+02	8.20015e-06	1.44473e-10	9.45571e+02	-1.48100e+04	3.04936e+02	6.38470e-02
5.29157e+04	3.15482e+03	1.87139e+02	5.50907e-06	1.46259e-10	1.21556e+03	-2.04922e+04	3.04936e+02	5.93185e-02
3.77969e+04	3.19112e+03	1.76622e+02	3.71391e-06	1.47942e-10	1.57052e+03	-2.83755e+04	3.04936e+02	5.53480e-02
2.69978e+04	3.22570e+03	1.67213e+02	2.51148e-06	1.49545e-10	2.03799e+03	-3.93147e+04	3.04937e+02	5.18379e-02
1.92842e+04	3.25850e+03	1.58979e+02	1.70558e-06	1.51066e-10	2.65916e+03	-5.45031e+04	3.04936e+02	4.87892e-02
1.37744e+04	3.28971e+03	1.51623e+02	1.16189e-06	1.52513e-10	3.48439e+03	-7.55997e+04	3.04936e+02	4.60900e-02
9.83886e+03	3.31976e+03	1.45162e+02	7.94558e-07	1.53906e-10	4.58709e+03	-1.04904e+05	3.04939e+02	4.37266e-02
7.02775e+03	3.34856e+03	1.39447e+02	5.45199e-07	1.55241e-10	6.06451e+03	-1.45628e+05	3.04937e+02	4.16439e-02
