PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.4599e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.54887e+03	1.33514e+02	2.22832e-04	7.18062e-11	6.32171e+01	-7.33367e+02	3.46046e+02	8.62011e-02
2.14286e+06	1.55938e+03	1.04464e+02	1.24535e-04	7.22937e-11	6.85169e+01	-1.02278e+03	3.46043e+02	6.69909e-02
1.53061e+06	1.57149e+03	8.50903e+01	7.24560e-05	7.28552e-11	7.70531e+01	-1.42306e+03	3.46039e+02	5.41461e-02
1.09329e+06	1.58283e+03	7.09321e+01	4.31429e-05	7.33807e-11	8.87236e+01	-1.97984e+03	3.46034e+02	4.48135e-02
7.80925e+05	1.59074e+03	6.03201e+01	2.62060e-05	7.37477e-11	1.04641e+02	-2.75955e+03	3.46027e+02	3.79194e-02
5.57803e+05	1.59916e+03	5.18939e+01	1.61037e-05	7.41377e-11	1.24758e+02	-3.84453e+03	3.46025e+02	3.24508e-02
3.98431e+05	1.60685e+03	4.53300e+01	1.00477e-05	7.44942e-11	1.51151e+02	-5.35796e+03	3.46020e+02	2.82105e-02
2.84594e+05	1.61401e+03	4.00837e+01	6.34632e-06	7.48262e-11	1.85497e+02	-7.46919e+03	3.46017e+02	2.48349e-02
2.03281e+05	1.62058e+03	3.59121e+01	4.06132e-06	7.51308e-11	2.30814e+02	-1.04158e+04	3.46015e+02	2.21601e-02
1.45201e+05	1.62670e+03	3.25767e+01	2.63151e-06	7.54148e-11	2.90950e+02	-1.45285e+04	3.46012e+02	2.00262e-02
1.03715e+05	1.63227e+03	2.98461e+01	1.72210e-06	7.56727e-11	3.70674e+02	-2.02719e+04	3.46008e+02	1.82851e-02
7.40820e+04	1.63763e+03	2.77531e+01	1.14381e-06	7.59211e-11	4.79420e+02	-2.82892e+04	3.46006e+02	1.69471e-02
5.29157e+04	1.64285e+03	2.61419e+01	7.69577e-07	7.61631e-11	6.28234e+02	-3.94803e+04	3.46002e+02	1.59126e-02
3.77969e+04	1.64763e+03	2.49038e+01	5.23663e-07	7.63847e-11	8.33039e+02	-5.51135e+04	3.46000e+02	1.51150e-02
2.69978e+04	1.65239e+03	2.38915e+01	3.58841e-07	7.66056e-11	1.11243e+03	-7.69379e+04	3.46000e+02	1.44588e-02
1.92842e+04	1.65714e+03	2.30896e+01	2.47712e-07	7.68258e-11	1.49653e+03	-1.07406e+05	3.45998e+02	1.39334e-02
1.37744e+04	1.66172e+03	2.24765e+01	1.72239e-07	7.70380e-11	2.02831e+03	-1.49956e+05	3.45994e+02	1.35261e-02
9.83886e+03	1.66625e+03	2.20793e+01	1.20854e-07	7.72482e-11	2.77432e+03	-2.09368e+05	3.45991e+02	1.32509e-02
7.02775e+03	1.67053e+03	2.17783e+01	8.51469e-08	7.74468e-11	3.81148e+03	-2.92366e+05	3.45987e+02	1.30367e-02
5.01983e+03	1.67500e+03	2.17877e+01	6.08455e-08	7.76537e-11	5.30998e+03	-4.08222e+05	3.45986e+02	1.30076e-02
3.58559e+03	1.67943e+03	2.19256e+01	4.37362e-08	7.78591e-11	7.44160e+03	-5.70002e+05	3.45985e+02	1.30554e-02
2.56114e+03	1.68381e+03	2.22258e+01	3.16678e-08	7.80622e-11	1.05060e+04	-7.95924e+05	3.45984e+02	1.31997e-02
