PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.2795e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.00102e+03	2.22523e+02	3.71386e-04	9.27681e-11	6.28183e+01	-5.64888e+02	3.27915e+02	1.11205e-01
2.14286e+06	2.02267e+03	1.79069e+02	2.13473e-04	9.37718e-11	6.95761e+01	-7.85894e+02	3.27916e+02	8.85311e-02
1.53061e+06	2.04649e+03	1.49282e+02	1.27117e-04	9.48762e-11	7.95228e+01	-1.09017e+03	3.27918e+02	7.29455e-02
1.09329e+06	2.06799e+03	1.27435e+02	7.75097e-05	9.58730e-11	9.32142e+01	-1.51266e+03	3.27922e+02	6.16228e-02
7.80925e+05	2.08454e+03	1.11071e+02	4.82545e-05	9.66403e-11	1.12050e+02	-2.10291e+03	3.27924e+02	5.32831e-02
5.57803e+05	2.10148e+03	9.80018e+01	3.04120e-05	9.74257e-11	1.36280e+02	-2.92228e+03	3.27925e+02	4.66346e-02
3.98431e+05	2.11743e+03	8.76612e+01	1.94308e-05	9.81649e-11	1.68177e+02	-4.06225e+03	3.27925e+02	4.13999e-02
2.84594e+05	2.13226e+03	7.92513e+01	1.25476e-05	9.88528e-11	2.09977e+02	-5.64946e+03	3.27925e+02	3.71677e-02
2.03281e+05	2.14614e+03	7.24099e+01	8.18887e-06	9.94959e-11	2.65194e+02	-7.86002e+03	3.27925e+02	3.37396e-02
1.45201e+05	2.15927e+03	6.67472e+01	5.39177e-06	1.00105e-10	3.38149e+02	-1.09391e+04	3.27923e+02	3.09120e-02
1.03715e+05	2.17166e+03	6.17851e+01	3.56495e-06	1.00679e-10	4.33292e+02	-1.52296e+04	3.27925e+02	2.84506e-02
7.40820e+04	2.18324e+03	5.75441e+01	2.37161e-06	1.01216e-10	5.59057e+02	-2.12108e+04	3.27925e+02	2.63572e-02
5.29157e+04	2.19405e+03	5.39026e+01	1.58681e-06	1.01717e-10	7.26008e+02	-2.95514e+04	3.27923e+02	2.45676e-02
3.77969e+04	2.20428e+03	5.08330e+01	1.06889e-06	1.02192e-10	9.49717e+02	-4.11829e+04	3.27921e+02	2.30610e-02
2.69978e+04	2.21398e+03	4.82293e+01	7.24384e-07	1.02641e-10	1.25055e+03	-5.74067e+04	3.27921e+02	2.17839e-02
1.92842e+04	2.22344e+03	4.59799e+01	4.93285e-07	1.03080e-10	1.65501e+03	-8.00313e+04	3.27921e+02	2.06796e-02
