PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.5995e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.29880e+03	9.07146e+01	1.51401e-04	6.02129e-11	6.12395e+01	-8.76790e+02	3.59917e+02	6.98450e-02
2.14286e+06	1.30333e+03	7.35349e+01	8.76629e-05	6.04231e-11	6.91324e+01	-1.22530e+03	3.59917e+02	5.64206e-02
1.53061e+06	1.31145e+03	5.94779e+01	5.06465e-05	6.07995e-11	7.74045e+01	-1.70672e+03	3.59920e+02	4.53527e-02
1.09329e+06	1.31948e+03	4.90546e+01	2.98364e-05	6.11719e-11	8.83500e+01	-2.37646e+03	3.59920e+02	3.71771e-02
7.80925e+05	1.32362e+03	4.13547e+01	1.79665e-05	6.13634e-11	1.03667e+02	-3.31801e+03	3.59923e+02	3.12437e-02
5.57803e+05	1.32901e+03	3.51053e+01	1.08939e-05	6.16138e-11	1.22237e+02	-4.62763e+03	3.59925e+02	2.64145e-02
3.98431e+05	1.33465e+03	3.01433e+01	6.68150e-06	6.18751e-11	1.45731e+02	-6.45252e+03	3.59925e+02	2.25852e-02
2.84594e+05	1.33895e+03	2.63293e+01	4.16864e-06	6.20742e-11	1.77090e+02	-9.00568e+03	3.59925e+02	1.96642e-02
2.03281e+05	1.34292e+03	2.33233e+01	2.63764e-06	6.22582e-11	2.18341e+02	-1.25717e+04	3.59924e+02	1.73676e-02
1.45201e+05	1.34645e+03	2.10737e+01	1.70231e-06	6.24221e-11	2.74762e+02	-1.75552e+04	3.59924e+02	1.56513e-02
1.03715e+05	1.34968e+03	1.93704e+01	1.11766e-06	6.25716e-11	3.51901e+02	-2.45195e+04	3.59925e+02	1.43519e-02
7.40820e+04	1.35301e+03	1.81691e+01	7.48817e-07	6.27264e-11	4.59843e+02	-3.42435e+04	3.59924e+02	1.34286e-02
5.29157e+04	1.35617e+03	1.72760e+01	5.08578e-07	6.28727e-11	6.09302e+02	-4.78302e+04	3.59925e+02	1.27388e-02
3.77969e+04	1.35964e+03	1.66028e+01	3.49114e-07	6.30334e-11	8.15617e+02	-6.67925e+04	3.59926e+02	1.22112e-02
2.69978e+04	1.36272e+03	1.60948e+01	2.41737e-07	6.31763e-11	1.10193e+03	-9.32989e+04	3.59927e+02	1.18108e-02
1.92842e+04	1.36568e+03	1.57316e+01	1.68773e-07	6.33136e-11	1.50137e+03	-1.30336e+05	3.59927e+02	1.15192e-02
1.37744e+04	1.36862e+03	1.55470e+01	1.19137e-07	6.34501e-11	2.06833e+03	-1.82079e+05	3.59926e+02	1.13596e-02
9.83886e+03	1.37176e+03	1.55128e+01	8.49113e-08	6.35957e-11	2.87610e+03	-2.54327e+05	3.59926e+02	1.13087e-02
7.02775e+03	1.37455e+03	1.56301e+01	6.11094e-08	6.37250e-11	4.04052e+03	-3.55335e+05	3.59927e+02	1.13710e-02
5.01983e+03	1.37766e+03	1.59173e+01	4.44515e-08	6.38692e-11	5.73465e+03	-4.96343e+05	3.59928e+02	1.15538e-02
3.58559e+03	1.38104e+03	1.62778e+01	3.24703e-08	6.40257e-11	8.17025e+03	-6.93178e+05	3.59927e+02	1.17866e-02
2.56114e+03	1.38426e+03	1.68040e+01	2.39428e-08	6.41749e-11	1.17532e+04	-9.68186e+05	3.59928e+02	1.21394e-02
1.82938e+03	1.38757e+03	1.73141e+01	1.76211e-08	6.43285e-11	1.68728e+04	-1.35221e+06	3.59929e+02	1.24780e-02
1.30670e+03	1.39122e+03	1.79066e+01	1.30172e-08	6.44977e-11	2.43021e+04	-1.88811e+06	3.59931e+02	1.28711e-02
9.33358e+02	1.39502e+03	1.84255e+01	9.56747e-09	6.46738e-11	3.48182e+04	-2.63614e+06	3.59931e+02	1.32081e-02
6.66685e+02	1.39876e+03	1.89312e+01	7.02145e-09	6.48470e-11	4.98157e+04	-3.68070e+06	3.59931e+02	1.35343e-02
4.76203e+02	1.40250e+03	1.94710e+01	5.15835e-09	6.50208e-11	7.13472e+04	-5.13916e+06	3.59930e+02	1.38831e-02
3.40145e+02	1.40626e+03	2.02646e+01	3.83469e-09	6.51948e-11	1.03401e+05	-7.17551e+06	3.59931e+02	1.44103e-02
2.42961e+02	1.41000e+03	2.13906e+01	2.89127e-09	6.53685e-11	1.51991e+05	-1.00188e+07	3.59931e+02	1.51706e-02
1.73543e+02	1.41401e+03	2.29906e+01	2.21967e-09	6.55541e-11	2.27403e+05	-1.39861e+07	3.59930e+02	1.62592e-02
1.23960e+02	1.41818e+03	2.50420e+01	1.72695e-09	6.57473e-11	3.44720e+05	-1.95221e+07	3.59931e+02	1.76579e-02
8.85426e+01	1.42310e+03	2.75457e+01	1.35686e-09	6.59758e-11	5.27155e+05	-2.72346e+07	3.59935e+02	1.93561e-02
6.32447e+01	1.42871e+03	3.07279e+01	1.08115e-09	6.62359e-11	8.16749e+05	-3.79753e+07	3.59935e+02	2.15074e-02
4.51748e+01	1.43571e+03	3.43754e+01	8.63918e-10	6.65603e-11	1.26660e+06	-5.29005e+07	3.59938e+02	2.39431e-02
3.22677e+01	1.44423e+03	3.76493e+01	6.75855e-10	6.69552e-11	1.91908e+06	-7.36161e+07	3.59940e+02	2.60688e-02
2.30484e+01	1.45383e+03	3.98040e+01	5.10382e-10	6.74001e-11	2.80291e+06	-1.02375e+08	3.59942e+02	2.73788e-02
1.64631e+01	1.46468e+03	4.02128e+01	3.68303e-10	6.79033e-11	3.90581e+06	-1.42262e+08	3.59941e+02	2.74550e-02
1.17594e+01	1.47460e+03	3.88089e+01	2.53889e-10	6.83633e-11	5.20678e+06	-1.97839e+08	3.59944e+02	2.63182e-02
8.39955e+00	1.48371e+03	3.60530e+01	1.68471e-10	6.87854e-11	6.68967e+06	-2.75304e+08	3.59948e+02	2.42993e-02
5.99968e+00	1.49116e+03	3.31867e+01	1.10770e-10	6.91311e-11	8.53575e+06	-3.83534e+08	3.59951e+02	2.22555e-02
