PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0798e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.49954e+03	4.68783e+02	7.82387e-04	1.15880e-10	8.29450e+01	-4.42260e+02	3.08029e+02	1.87548e-01
2.14286e+06	2.57301e+03	4.06894e+02	4.85069e-04	1.19286e-10	9.60619e+01	-6.07450e+02	3.08026e+02	1.58140e-01
1.53061e+06	2.64232e+03	3.51993e+02	2.99729e-04	1.22499e-10	1.11105e+02	-8.34031e+02	3.08024e+02	1.33214e-01
1.09329e+06	2.70168e+03	3.08184e+02	1.87446e-04	1.25251e-10	1.30877e+02	-1.14733e+03	3.08019e+02	1.14071e-01
7.80925e+05	2.75075e+03	2.73053e+02	1.18627e-04	1.27526e-10	1.57091e+02	-1.58254e+03	3.08018e+02	9.92650e-02
5.57803e+05	2.79672e+03	2.44221e+02	7.57866e-05	1.29657e-10	1.90711e+02	-2.18395e+03	3.08014e+02	8.73238e-02
3.98431e+05	2.83897e+03	2.20851e+02	4.89532e-05	1.31616e-10	2.34680e+02	-3.01674e+03	3.08011e+02	7.77926e-02
2.84594e+05	2.87764e+03	2.01915e+02	3.19685e-05	1.33409e-10	2.92690e+02	-4.17135e+03	3.08007e+02	7.01667e-02
2.03281e+05	2.91399e+03	1.86456e+02	2.10864e-05	1.35094e-10	3.69318e+02	-5.77181e+03	3.08004e+02	6.39865e-02
1.45201e+05	2.94619e+03	1.73552e+02	1.40194e-05	1.36587e-10	4.71094e+02	-7.99721e+03	3.08000e+02	5.89074e-02
1.03715e+05	2.97884e+03	1.62765e+02	9.39140e-06	1.38100e-10	6.05346e+02	-1.10787e+04	3.07998e+02	5.46404e-02
7.40820e+04	3.01014e+03	1.53496e+02	6.32614e-06	1.39552e-10	7.82987e+02	-1.53548e+04	3.07992e+02	5.09929e-02
5.29157e+04	3.03997e+03	1.45671e+02	4.28831e-06	1.40934e-10	1.02029e+03	-2.12923e+04	3.07991e+02	4.79185e-02
3.77969e+04	3.06858e+03	1.38637e+02	2.91517e-06	1.42261e-10	1.33454e+03	-2.95388e+04	3.07987e+02	4.51794e-02
2.69978e+04	3.09587e+03	1.32591e+02	1.99147e-06	1.43526e-10	1.75589e+03	-4.09982e+04	3.07982e+02	4.28285e-02
1.92842e+04	3.12208e+03	1.27110e+02	1.36367e-06	1.44741e-10	2.31763e+03	-5.69256e+04	3.07975e+02	4.07133e-02
1.37744e+04	3.14726e+03	1.22166e+02	9.36161e-07	1.45909e-10	3.06922e+03	-7.90701e+04	3.07974e+02	3.88164e-02
9.83886e+03	3.17177e+03	1.17811e+02	6.44849e-07	1.47045e-10	4.08047e+03	-1.09857e+05	3.07971e+02	3.71435e-02
7.02775e+03	3.19538e+03	1.13898e+02	4.45310e-07	1.48139e-10	5.44223e+03	-1.52680e+05	3.07972e+02	3.56447e-02
5.01983e+03	3.21805e+03	1.10281e+02	3.07976e-07	1.49191e-10	7.27423e+03	-2.12266e+05	3.07973e+02	3.42694e-02
3.58559e+03	3.24024e+03	1.07230e+02	2.13899e-07	1.50219e-10	9.76785e+03	-2.95161e+05	3.07970e+02	3.30933e-02
2.56114e+03	3.26140e+03	1.04751e+02	1.49252e-07	1.51200e-10	1.31869e+04	-4.10570e+05	3.07971e+02	3.21185e-02
1.82938e+03	3.28205e+03	1.02503e+02	1.04320e-07	1.52157e-10	1.78398e+04	-5.71215e+05	3.07971e+02	3.12313e-02
1.30670e+03	3.30277e+03	1.00813e+02	7.32862e-08	1.53118e-10	2.42577e+04	-7.94716e+05	3.07971e+02	3.05237e-02
9.33358e+02	3.32296e+03	9.94530e+01	5.16411e-08	1.54054e-10	3.30980e+04	-1.10588e+06	3.07974e+02	2.99290e-02
6.66685e+02	3.34321e+03	9.86374e+01	3.65840e-08	1.54993e-10	4.54033e+04	-1.53890e+06	3.07973e+02	2.95038e-02
4.76203e+02	3.36333e+03	9.82987e+01	2.60417e-08	1.55926e-10	6.25918e+04	-2.14161e+06	3.07974e+02	2.92266e-02
3.40145e+02	3.38293e+03	9.79746e+01	1.85399e-08	1.56834e-10	8.63318e+04	-2.98092e+06	3.07973e+02	2.89615e-02
2.42961e+02	3.40324e+03	9.80906e+01	1.32584e-08	1.57776e-10	1.19569e+05	-4.14842e+06	3.07975e+02	2.88227e-02
1.73543e+02	3.42354e+03	9.83695e+01	9.49725e-09	1.58717e-10	1.65889e+05	-5.77339e+06	3.07975e+02	2.87333e-02
1.23960e+02	3.44389e+03	9.85808e+01	6.79832e-09	1.59660e-10	2.30001e+05	-8.03503e+06	3.07973e+02	2.86249e-02
8.85426e+01	3.46358e+03	9.89443e+01	4.87385e-09	1.60573e-10	3.19526e+05	-1.11851e+07	3.07974e+02	2.85670e-02
6.32447e+01	3.48628e+03	9.94187e+01	3.49801e-09	1.61626e-10	4.43648e+05	-1.55572e+07	3.07973e+02	2.85171e-02
4.51748e+01	3.50584e+03	1.00294e+02	2.52057e-09	1.62533e-10	6.19596e+05	-2.16585e+07	3.07975e+02	2.86076e-02
3.22677e+01	3.52589e+03	1.01989e+02	1.83083e-09	1.63462e-10	8.72080e+05	-3.01490e+07	3.07974e+02	2.89257e-02
2.30484e+01	3.54532e+03	1.04406e+02	1.33873e-09	1.64363e-10	1.23615e+06	-4.19760e+07	3.07973e+02	2.94490e-02
1.64631e+01	3.56574e+03	1.08340e+02	9.92271e-10	1.65310e-10	1.77521e+06	-5.84264e+07	3.07970e+02	3.03836e-02
1.17594e+01	3.58655e+03	1.13102e+02	7.39920e-10	1.66274e-10	2.56434e+06	-8.13167e+07	3.07971e+02	3.15352e-02
8.39955e+00	3.60873e+03	1.20540e+02	5.63267e-10	1.67302e-10	3.77879e+06	-1.13130e+08	3.07969e+02	3.34022e-02
5.99968e+00	3.63259e+03	1.29668e+02	4.32801e-10	1.68408e-10	5.61553e+06	-1.57317e+08	3.07967e+02	3.56957e-02
4.28548e+00	3.65861e+03	1.39292e+02	3.32091e-10	1.69615e-10	8.32413e+06	-2.18639e+08	3.07964e+02	3.80725e-02
3.06106e+00	3.68892e+03	1.50717e+02	2.56662e-10	1.71020e-10	1.24004e+07	-3.03512e+08	3.07960e+02	4.08565e-02
2.18647e+00	3.72357e+03	1.62817e+02	1.98050e-10	1.72627e-10	1.84027e+07	-4.20862e+08	3.07960e+02	4.37262e-02
1.56176e+00	3.76245e+03	1.69425e+02	1.47205e-10	1.74429e-10	2.62550e+07	-5.83050e+08	3.07957e+02	4.50304e-02
1.11555e+00	3.80391e+03	1.72312e+02	1.06938e-10	1.76351e-10	3.65722e+07	-8.07354e+08	3.07960e+02	4.52988e-02
