PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.1794e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.31155e+03	3.07161e+02	5.12645e-04	1.07164e-10	6.46413e+01	-4.86460e+02	3.17912e+02	1.32881e-01
2.14286e+06	2.34510e+03	2.52261e+02	3.00727e-04	1.08720e-10	7.26457e+01	-6.75338e+02	3.17907e+02	1.07569e-01
1.53061e+06	2.38211e+03	2.12876e+02	1.81268e-04	1.10436e-10	8.34750e+01	-9.34094e+02	3.17902e+02	8.93646e-02
1.09329e+06	2.41356e+03	1.83522e+02	1.11623e-04	1.11894e-10	9.83560e+01	-1.29352e+03	3.17897e+02	7.60376e-02
7.80925e+05	2.43878e+03	1.61580e+02	7.01982e-05	1.13063e-10	1.18906e+02	-1.79468e+03	3.17901e+02	6.62544e-02
5.57803e+05	2.46385e+03	1.44435e+02	4.48212e-05	1.14225e-10	1.45931e+02	-2.48936e+03	3.17903e+02	5.86218e-02
3.98431e+05	2.48771e+03	1.31074e+02	2.90536e-05	1.15331e-10	1.81984e+02	-3.45395e+03	3.17905e+02	5.26887e-02
2.84594e+05	2.51038e+03	1.20561e+02	1.90880e-05	1.16382e-10	2.30237e+02	-4.79411e+03	3.17908e+02	4.80250e-02
2.03281e+05	2.53214e+03	1.11867e+02	1.26511e-05	1.17391e-10	2.94072e+02	-6.65641e+03	3.17908e+02	4.41788e-02
1.45201e+05	2.55288e+03	1.04757e+02	8.46213e-06	1.18353e-10	3.79395e+02	-9.24573e+03	3.17910e+02	4.10346e-02
1.03715e+05	2.57272e+03	9.85111e+01	5.68402e-06	1.19273e-10	4.91921e+02	-1.28470e+04	3.17911e+02	3.82906e-02
7.40820e+04	2.59188e+03	9.30790e+01	3.83614e-06	1.20161e-10	6.41241e+02	-1.78560e+04	3.17912e+02	3.59118e-02
5.29157e+04	2.60990e+03	8.82708e+01	2.59855e-06	1.20996e-10	8.39772e+02	-2.48295e+04	3.17914e+02	3.38216e-02
3.77969e+04	2.62698e+03	8.38616e+01	1.76339e-06	1.21788e-10	1.10261e+03	-3.45396e+04	3.17917e+02	3.19232e-02
2.69978e+04	2.64357e+03	8.01302e+01	1.20352e-06	1.22557e-10	1.45666e+03	-4.80566e+04	3.17918e+02	3.03113e-02
1.92842e+04	2.65952e+03	7.66641e+01	8.22474e-07	1.23297e-10	1.92795e+03	-6.68817e+04	3.17919e+02	2.88263e-02
1.37744e+04	2.67460e+03	7.35781e+01	5.63833e-07	1.23996e-10	2.56153e+03	-9.31132e+04	3.17920e+02	2.75099e-02
9.83886e+03	2.68934e+03	7.08158e+01	3.87618e-07	1.24679e-10	3.41401e+03	-1.29652e+05	3.17921e+02	2.63320e-02
7.02775e+03	2.70336e+03	6.82636e+01	2.66892e-07	1.25329e-10	4.55994e+03	-1.80582e+05	3.17923e+02	2.52514e-02
5.01983e+03	2.71694e+03	6.61902e+01	1.84847e-07	1.25959e-10	6.12856e+03	-2.51562e+05	3.17924e+02	2.43620e-02
3.58559e+03	2.72996e+03	6.42567e+01	1.28176e-07	1.26562e-10	8.25047e+03	-3.50522e+05	3.17927e+02	2.35376e-02
2.56114e+03	2.74266e+03	6.28499e+01	8.95501e-08	1.27151e-10	1.11936e+04	-4.88471e+05	3.17928e+02	2.29156e-02
1.82938e+03	2.75508e+03	6.16599e+01	6.27533e-08	1.27727e-10	1.52364e+04	-6.80793e+05	3.17929e+02	2.23804e-02
1.30670e+03	2.76751e+03	6.07998e+01	4.41985e-08	1.28303e-10	2.08453e+04	-9.48847e+05	3.17930e+02	2.19691e-02
9.33358e+02	2.77975e+03	6.01448e+01	3.12303e-08	1.28870e-10	2.86159e+04	-1.32256e+06	3.17933e+02	2.16368e-02
6.66685e+02	2.79183e+03	5.98470e+01	2.21969e-08	1.29431e-10	3.95200e+04	-1.84358e+06	3.17932e+02	2.14365e-02
4.76203e+02	2.80383e+03	5.98032e+01	1.58433e-08	1.29987e-10	5.48156e+04	-2.56999e+06	3.17934e+02	2.13291e-02
3.40145e+02	2.81616e+03	5.99895e+01	1.13519e-08	1.30558e-10	7.63084e+04	-3.58223e+06	3.17935e+02	2.13019e-02
2.42961e+02	2.82836e+03	6.02710e+01	8.14655e-09	1.31124e-10	1.06409e+05	-4.99348e+06	3.17938e+02	2.13095e-02
1.73543e+02	2.84072e+03	6.05732e+01	5.84814e-09	1.31697e-10	1.48419e+05	-6.96045e+06	3.17938e+02	2.13232e-02
1.23960e+02	2.85326e+03	6.09359e+01	4.20226e-09	1.32278e-10	2.07198e+05	-9.70182e+06	3.17939e+02	2.13566e-02
8.85426e+01	2.86541e+03	6.14156e+01	3.02524e-09	1.32842e-10	2.89886e+05	-1.35249e+07	3.17941e+02	2.14335e-02
6.32447e+01	2.87756e+03	6.23617e+01	2.19417e-09	1.33405e-10	4.08613e+05	-1.88547e+07	3.17941e+02	2.16717e-02
4.51748e+01	2.88968e+03	6.39106e+01	1.60619e-09	1.33967e-10	5.81351e+05	-2.62854e+07	3.17944e+02	2.21169e-02
3.22677e+01	2.90181e+03	6.60743e+01	1.18612e-09	1.34529e-10	8.34397e+05	-3.66446e+07	3.17943e+02	2.27700e-02
2.30484e+01	2.91421e+03	6.93111e+01	8.88735e-10	1.35104e-10	1.21492e+06	-5.10817e+07	3.17945e+02	2.37838e-02
1.64631e+01	2.92747e+03	7.38937e+01	6.76781e-10	1.35719e-10	1.79682e+06	-7.11853e+07	3.17946e+02	2.52414e-02
1.17594e+01	2.93868e+03	7.90049e+01	5.16854e-10	1.36238e-10	2.66886e+06	-9.92710e+07	3.17947e+02	2.68845e-02
8.39955e+00	2.95497e+03	8.68208e+01	4.05704e-10	1.36994e-10	4.06030e+06	-1.38194e+08	3.17947e+02	2.93813e-02
5.99968e+00	2.97369e+03	9.54115e+01	3.18462e-10	1.37862e-10	6.16748e+06	-1.92222e+08	3.17949e+02	3.20853e-02
4.28548e+00	2.99492e+03	1.03813e+02	2.47504e-10	1.38846e-10	9.26046e+06	-2.67156e+08	3.17948e+02	3.46631e-02
3.06106e+00	3.01992e+03	1.11238e+02	1.89432e-10	1.40005e-10	1.36607e+07	-3.70865e+08	3.17948e+02	3.68347e-02
2.18647e+00	3.04736e+03	1.15299e+02	1.40249e-10	1.41277e-10	1.94665e+07	-5.14498e+08	3.17948e+02	3.78359e-02
1.56176e+00	3.07794e+03	1.14604e+02	9.95741e-11	1.42695e-10	2.65544e+07	-7.13173e+08	3.17952e+02	3.72342e-02
1.11555e+00	3.10370e+03	1.12414e+02	6.97650e-11	1.43889e-10	3.58654e+07	-9.90228e+08	3.17953e+02	3.62194e-02
7.96819e-01	3.12659e+03	1.06866e+02	4.73728e-11	1.44950e-10	4.70439e+07	-1.37637e+09	3.17958e+02	3.41797e-02
5.69156e-01	3.14958e+03	1.01573e+02	3.21617e-11	1.46016e-10	6.16965e+07	-1.91309e+09	3.17961e+02	3.22496e-02
4.06540e-01	3.16903e+03	9.75985e+01	2.20738e-11	1.46918e-10	8.19873e+07	-2.66213e+09	3.17967e+02	3.07976e-02
2.90386e-01	3.18720e+03	9.35749e+01	1.51169e-11	1.47760e-10	1.08809e+08	-3.70607e+09	3.17974e+02	2.93596e-02
2.07419e-01	3.20474e+03	9.15894e+01	1.05687e-11	1.48573e-10	1.47479e+08	-5.16032e+09	3.17987e+02	2.85793e-02
1.48156e-01	3.22112e+03	8.86003e+01	7.30271e-12	1.49333e-10	1.97718e+08	-7.18815e+09	3.17996e+02	2.75061e-02
1.05826e-01	3.23758e+03	8.69156e+01	5.11704e-12	1.50096e-10	2.68796e+08	-1.00126e+10	3.18000e+02	2.68458e-02
7.55898e-02	3.25398e+03	8.74068e+01	3.67568e-12	1.50856e-10	3.74637e+08	-1.39470e+10	3.18008e+02	2.68615e-02
5.39927e-02	3.26851e+03	8.67612e+01	2.60610e-12	1.51529e-10	5.16010e+08	-1.94393e+10	3.18008e+02	2.65446e-02
3.85662e-02	3.28408e+03	8.67271e+01	1.86076e-12	1.52252e-10	7.15302e+08	-2.70862e+10	3.18004e+02	2.64083e-02
2.75473e-02	3.29981e+03	8.56049e+01	1.31192e-12	1.52981e-10	9.79089e+08	-3.77409e+10	3.17993e+02	2.59424e-02
1.96766e-02	3.31688e+03	8.58402e+01	9.39661e-13	1.53772e-10	1.36038e+09	-5.25655e+10	3.17995e+02	2.58798e-02
1.00000e-02	3.34682e+03	8.47188e+01	4.71312e-13	1.55160e-10	2.59483e+09	-1.02509e+11	3.18004e+02	2.53132e-02
