PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9595e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.27434e+03	2.26553e+02	3.78113e-04	5.90789e-11	1.54753e+02	-8.70467e+02	2.96011e+02	1.77781e-01
2.14286e+06	1.31116e+03	2.22348e+02	2.65067e-04	6.07860e-11	2.01414e+02	-1.18771e+03	2.96005e+02	1.69582e-01
1.53061e+06	1.35390e+03	2.14082e+02	1.82295e-04	6.27677e-11	2.55556e+02	-1.61620e+03	2.95999e+02	1.58122e-01
1.09329e+06	1.38768e+03	2.06296e+02	1.25475e-04	6.43337e-11	3.29118e+02	-2.21387e+03	2.95979e+02	1.48662e-01
7.80925e+05	1.42665e+03	2.01554e+02	8.75647e-05	6.61403e-11	4.26810e+02	-3.02108e+03	2.95977e+02	1.41277e-01
5.57803e+05	1.46657e+03	1.97863e+02	6.14010e-05	6.79910e-11	5.56051e+02	-4.12148e+03	2.95974e+02	1.34915e-01
3.98431e+05	1.50530e+03	1.94865e+02	4.31934e-05	6.97863e-11	7.28772e+02	-5.62962e+03	2.95971e+02	1.29453e-01
2.84594e+05	1.54443e+03	1.92598e+02	3.04935e-05	7.16006e-11	9.59092e+02	-7.69088e+03	2.95968e+02	1.24705e-01
2.03281e+05	1.58301e+03	1.90710e+02	2.15675e-05	7.33893e-11	1.26684e+03	-1.05156e+04	2.95965e+02	1.20473e-01
1.45201e+05	1.62151e+03	1.89236e+02	1.52863e-05	7.51740e-11	1.67878e+03	-1.43850e+04	2.95963e+02	1.16704e-01
1.03715e+05	1.65997e+03	1.87915e+02	1.08426e-05	7.69568e-11	2.22877e+03	-1.96880e+04	2.95960e+02	1.13204e-01
7.40820e+04	1.69770e+03	1.86609e+02	7.69087e-06	7.87060e-11	2.96454e+03	-2.69702e+04	2.95957e+02	1.09919e-01
5.29157e+04	1.73577e+03	1.85434e+02	5.45887e-06	8.04714e-11	3.94785e+03	-3.69543e+04	2.95955e+02	1.06830e-01
3.77969e+04	1.77329e+03	1.84333e+02	3.87606e-06	8.22106e-11	5.26735e+03	-5.06720e+04	2.95954e+02	1.03950e-01
2.69978e+04	1.81081e+03	1.83236e+02	2.75213e-06	8.39499e-11	7.03373e+03	-6.95100e+04	2.95952e+02	1.01190e-01
1.92842e+04	1.84830e+03	1.82297e+02	1.95573e-06	8.56882e-11	9.40808e+03	-9.53881e+04	2.95949e+02	9.86294e-02
1.37744e+04	1.88618e+03	1.81368e+02	1.38984e-06	8.74442e-11	1.25892e+04	-1.30924e+05	2.95950e+02	9.61565e-02
9.83886e+03	1.92328e+03	1.80543e+02	9.88220e-07	8.91642e-11	1.68815e+04	-1.79835e+05	2.95950e+02	9.38722e-02
7.02775e+03	1.96025e+03	1.79462e+02	7.01648e-07	9.08779e-11	2.26247e+04	-2.47127e+05	2.95947e+02	9.15509e-02
5.01983e+03	1.99639e+03	1.78191e+02	4.97627e-07	9.25536e-11	3.03342e+04	-3.39854e+05	2.95946e+02	8.92567e-02
3.58559e+03	2.03247e+03	1.76631e+02	3.52335e-07	9.42262e-11	4.06315e+04	-4.67542e+05	2.95945e+02	8.69045e-02
2.56114e+03	2.06817e+03	1.74955e+02	2.49281e-07	9.58815e-11	5.44373e+04	-6.43511e+05	2.95945e+02	8.45942e-02
1.82938e+03	2.10334e+03	1.73174e+02	1.76244e-07	9.75118e-11	7.29621e+04	-8.86185e+05	2.95944e+02	8.23327e-02
1.30670e+03	2.13818e+03	1.71385e+02	1.24589e-07	9.91270e-11	9.78587e+04	-1.22087e+06	2.95943e+02	8.01547e-02
9.33358e+02	2.17212e+03	1.69713e+02	8.81238e-08	1.00701e-10	1.31501e+05	-1.68305e+06	2.95940e+02	7.81324e-02
6.66685e+02	2.20579e+03	1.68263e+02	6.24076e-08	1.02261e-10	1.77048e+05	-2.32096e+06	2.95941e+02	7.62824e-02
4.76203e+02	2.23836e+03	1.66681e+02	4.41578e-08	1.03771e-10	2.38509e+05	-3.20294e+06	2.95942e+02	7.44657e-02
3.40145e+02	2.27120e+03	1.65443e+02	3.13071e-08	1.05294e-10	3.21995e+05	-4.42033e+06	2.95941e+02	7.28441e-02
2.42961e+02	2.30391e+03	1.64497e+02	2.22344e-08	1.06810e-10	4.35669e+05	-6.10187e+06	2.95939e+02	7.13993e-02
1.73543e+02	2.33654e+03	1.63836e+02	1.58178e-08	1.08323e-10	5.90741e+05	-8.42483e+06	2.95938e+02	7.01191e-02
1.23960e+02	2.36894e+03	1.63261e+02	1.12588e-08	1.09825e-10	8.01878e+05	-1.16354e+07	2.95938e+02	6.89174e-02
8.85426e+01	2.40253e+03	1.62705e+02	8.01462e-09	1.11382e-10	1.08792e+06	-1.60644e+07	2.95937e+02	6.77225e-02
6.32447e+01	2.43456e+03	1.62310e+02	5.71082e-09	1.12867e-10	1.47988e+06	-2.21974e+07	2.95938e+02	6.66691e-02
4.51748e+01	2.46631e+03	1.61810e+02	4.06660e-09	1.14340e-10	2.01289e+06	-3.06805e+07	2.95938e+02	6.56082e-02
3.22677e+01	2.49737e+03	1.61582e+02	2.90062e-09	1.15779e-10	2.74485e+06	-4.24236e+07	2.95938e+02	6.47010e-02
2.30484e+01	2.52838e+03	1.61921e+02	2.07622e-09	1.17217e-10	3.75730e+06	-5.86696e+07	2.95937e+02	6.40417e-02
1.64631e+01	2.55794e+03	1.62220e+02	1.48575e-09	1.18587e-10	5.14924e+06	-8.11947e+07	2.95937e+02	6.34184e-02
1.17594e+01	2.58920e+03	1.64089e+02	1.07347e-09	1.20037e-10	7.11695e+06	-1.12300e+08	2.95938e+02	6.33742e-02
8.39955e+00	2.61882e+03	1.67010e+02	7.80420e-10	1.21410e-10	9.91254e+06	-1.55435e+08	2.95935e+02	6.37731e-02
5.99968e+00	2.65111e+03	1.71672e+02	5.73002e-10	1.22907e-10	1.39178e+07	-2.14931e+08	2.95935e+02	6.47546e-02
4.28548e+00	2.68103e+03	1.76954e+02	4.21882e-10	1.24294e-10	1.96356e+07	-2.97497e+08	2.95933e+02	6.60025e-02
3.06106e+00	2.71279e+03	1.82803e+02	3.11305e-10	1.25766e-10	2.77321e+07	-4.11544e+08	2.95932e+02	6.73857e-02
2.18647e+00	2.74607e+03	1.89029e+02	2.29933e-10	1.27309e-10	3.91725e+07	-5.69068e+08	2.95932e+02	6.88362e-02
1.56176e+00	2.78345e+03	1.94850e+02	1.69295e-10	1.29042e-10	5.50133e+07	-7.85870e+08	2.95931e+02	7.00031e-02
1.11555e+00	2.81751e+03	1.99988e+02	1.24114e-10	1.30621e-10	7.71394e+07	-1.08677e+09	2.95929e+02	7.09805e-02
7.96819e-01	2.85089e+03	2.05545e+02	9.11162e-11	1.32168e-10	1.08395e+08	-1.50342e+09	2.95929e+02	7.20986e-02
5.69156e-01	2.88458e+03	2.09985e+02	6.64888e-11	1.33730e-10	1.51415e+08	-2.08000e+09	2.95927e+02	7.27956e-02
4.06540e-01	2.91812e+03	2.19052e+02	4.95427e-11	1.35285e-10	2.16008e+08	-2.87757e+09	2.95924e+02	7.50661e-02
2.90386e-01	2.93990e+03	2.24829e+02	3.63210e-11	1.36295e-10	3.05739e+08	-3.99789e+09	2.95924e+02	7.64751e-02
2.07419e-01	2.96421e+03	2.31971e+02	2.67677e-11	1.37422e-10	4.34299e+08	-5.54963e+09	2.95935e+02	7.82573e-02
1.48156e-01	2.98499e+03	2.40278e+02	1.98045e-11	1.38386e-10	6.20835e+08	-7.71267e+09	2.95948e+02	8.04955e-02
1.05826e-01	3.00332e+03	2.47627e+02	1.45787e-11	1.39235e-10	8.84569e+08	-1.07284e+10	2.95971e+02	8.24509e-02
7.55898e-02	3.02513e+03	2.59563e+02	1.09153e-11	1.40247e-10	1.27872e+09	-1.49032e+10	2.95993e+02	8.58021e-02
5.39927e-02	3.03663e+03	2.64171e+02	7.93506e-12	1.40779e-10	1.80786e+09	-2.07812e+10	2.96014e+02	8.69950e-02
3.85662e-02	3.05784e+03	2.78280e+02	5.97060e-12	1.41763e-10	2.62745e+09	-2.88714e+10	2.95987e+02	9.10053e-02
2.75473e-02	3.06304e+03	2.83305e+02	4.34173e-12	1.42004e-10	3.73114e+09	-4.03404e+10	2.96008e+02	9.24915e-02
1.96766e-02	3.06689e+03	2.87065e+02	3.14240e-12	1.42182e-10	5.27859e+09	-5.63943e+10	2.96017e+02	9.36015e-02
1.00000e-02	3.11904e+03	3.24076e+02	1.80292e-12	1.44600e-10	1.13139e+10	-1.08890e+11	2.96010e+02	1.03902e-01
