PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9796e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.74646e+03	3.66510e+02	6.11697e-04	8.09669e-11	1.31704e+02	-6.27587e+02	2.98005e+02	2.09858e-01
2.14286e+06	1.80908e+03	3.54403e+02	4.22493e-04	8.38698e-11	1.67073e+02	-8.52837e+02	2.97999e+02	1.95902e-01
1.53061e+06	1.87734e+03	3.37870e+02	2.87703e-04	8.70345e-11	2.08270e+02	-1.15723e+03	2.97996e+02	1.79973e-01
1.09329e+06	1.94519e+03	3.25982e+02	1.98271e-04	9.01802e-11	2.63132e+02	-1.57016e+03	2.97993e+02	1.67583e-01
7.80925e+05	2.00818e+03	3.16200e+02	1.37372e-04	9.31001e-11	3.36345e+02	-2.13612e+03	2.97990e+02	1.57456e-01
5.57803e+05	2.07142e+03	3.08047e+02	9.55933e-05	9.60323e-11	4.32285e+02	-2.90685e+03	2.97987e+02	1.48713e-01
3.98431e+05	2.13378e+03	3.01359e+02	6.67985e-05	9.89232e-11	5.59147e+02	-3.95905e+03	2.97983e+02	1.41232e-01
2.84594e+05	2.19497e+03	2.95632e+02	4.68064e-05	1.01760e-10	7.26997e+02	-5.39772e+03	2.97982e+02	1.34686e-01
2.03281e+05	2.25589e+03	2.90694e+02	3.28747e-05	1.04584e-10	9.48908e+02	-7.36386e+03	2.97979e+02	1.28860e-01
1.45201e+05	2.31574e+03	2.86150e+02	2.31149e-05	1.07359e-10	1.24262e+03	-1.00562e+04	2.97976e+02	1.23568e-01
1.03715e+05	2.37775e+03	2.82043e+02	1.62737e-05	1.10234e-10	1.62834e+03	-1.37277e+04	2.97975e+02	1.18617e-01
7.40820e+04	2.43627e+03	2.77622e+02	1.14418e-05	1.12947e-10	2.13973e+03	-1.87772e+04	2.97968e+02	1.13954e-01
5.29157e+04	2.49400e+03	2.73062e+02	8.03851e-06	1.15623e-10	2.81436e+03	-2.57048e+04	2.97969e+02	1.09487e-01
