PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0995e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.50182e+03	4.33233e+02	7.23057e-04	1.15986e-10	7.69004e+01	-4.44082e+02	3.09902e+02	1.73167e-01
2.14286e+06	2.56483e+03	3.70018e+02	4.41108e-04	1.18907e-10	8.82750e+01	-6.11891e+02	3.09904e+02	1.44266e-01
1.53061e+06	2.62381e+03	3.15724e+02	2.68845e-04	1.21641e-10	1.01393e+02	-8.42619e+02	3.09905e+02	1.20330e-01
1.09329e+06	2.67420e+03	2.73851e+02	1.66564e-04	1.23977e-10	1.18996e+02	-1.16201e+03	3.09905e+02	1.02405e-01
7.80925e+05	2.71527e+03	2.41206e+02	1.04791e-04	1.25881e-10	1.42696e+02	-1.60633e+03	3.09910e+02	8.88330e-02
5.57803e+05	2.75442e+03	2.15129e+02	6.67590e-05	1.27696e-10	1.73456e+02	-2.22085e+03	3.09911e+02	7.81033e-02
3.98431e+05	2.79026e+03	1.94697e+02	4.31559e-05	1.29358e-10	2.14427e+02	-3.07302e+03	3.09912e+02	6.97773e-02
2.84594e+05	2.82409e+03	1.78310e+02	2.82312e-05	1.30926e-10	2.68620e+02	-4.25442e+03	3.09914e+02	6.31390e-02
2.03281e+05	2.85581e+03	1.65323e+02	1.86965e-05	1.32397e-10	3.41191e+02	-5.89377e+03	3.09915e+02	5.78901e-02
1.45201e+05	2.88627e+03	1.54645e+02	1.24921e-05	1.33809e-10	4.37644e+02	-8.16810e+03	3.09915e+02	5.35797e-02
1.03715e+05	2.91529e+03	1.45637e+02	8.40317e-06	1.35154e-10	5.65795e+02	-1.13258e+04	3.09915e+02	4.99565e-02
7.40820e+04	2.94088e+03	1.37771e+02	5.67807e-06	1.36340e-10	7.36566e+02	-1.57228e+04	3.09917e+02	4.68470e-02
5.29157e+04	2.96756e+03	1.31006e+02	3.85661e-06	1.37578e-10	9.63237e+02	-2.18193e+04	3.09920e+02	4.41460e-02
3.77969e+04	2.99326e+03	1.25114e+02	2.63083e-06	1.38769e-10	1.26612e+03	-3.02909e+04	3.09919e+02	4.17986e-02
2.69978e+04	3.01776e+03	1.19784e+02	1.79911e-06	1.39905e-10	1.66990e+03	-4.20703e+04	3.09920e+02	3.96931e-02
1.92842e+04	3.04169e+03	1.15175e+02	1.23563e-06	1.41014e-10	2.21299e+03	-5.84432e+04	3.09922e+02	3.78656e-02
1.37744e+04	3.06455e+03	1.10899e+02	8.49823e-07	1.42074e-10	2.93917e+03	-8.12203e+04	3.09921e+02	3.61876e-02
9.83886e+03	3.08677e+03	1.07046e+02	5.85930e-07	1.43104e-10	3.91534e+03	-1.12902e+05	3.09923e+02	3.46791e-02
7.02775e+03	3.10807e+03	1.03591e+02	4.05012e-07	1.44092e-10	5.23254e+03	-1.56994e+05	3.09923e+02	3.33296e-02
5.01983e+03	3.12864e+03	1.00436e+02	2.80484e-07	1.45046e-10	7.00993e+03	-2.18363e+05	3.09925e+02	3.21021e-02
3.58559e+03	3.14858e+03	9.77464e+01	1.94980e-07	1.45970e-10	9.43115e+03	-3.03794e+05	3.09926e+02	3.10446e-02
2.56114e+03	3.16778e+03	9.54668e+01	1.36024e-07	1.46860e-10	1.27405e+04	-4.22757e+05	3.09928e+02	3.01368e-02
1.82938e+03	3.18686e+03	9.34949e+01	9.51528e-08	1.47744e-10	1.72606e+04	-5.88344e+05	3.09932e+02	2.93376e-02
1.30670e+03	3.20534e+03	9.20599e+01	6.69231e-08	1.48601e-10	2.35212e+04	-8.18962e+05	3.09933e+02	2.87208e-02
9.33358e+02	3.22357e+03	9.09484e+01	4.72251e-08	1.49446e-10	3.21662e+04	-1.14010e+06	3.09936e+02	2.82136e-02
6.66685e+02	3.24190e+03	9.01941e+01	3.34525e-08	1.50296e-10	4.41565e+04	-1.58714e+06	3.09939e+02	2.78214e-02
4.76203e+02	3.26003e+03	8.98423e+01	2.38014e-08	1.51137e-10	6.08958e+04	-2.20967e+06	3.09941e+02	2.75587e-02
3.40145e+02	3.27812e+03	8.96286e+01	1.69606e-08	1.51975e-10	8.41165e+04	-3.07651e+06	3.09943e+02	2.73415e-02
2.42961e+02	3.29627e+03	8.98465e+01	1.21441e-08	1.52817e-10	1.16753e+05	-4.28342e+06	3.09946e+02	2.72570e-02
