PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9995e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.04105e+03	4.61790e+02	7.70717e-04	9.46241e-11	1.20672e+02	-5.33355e+02	2.99980e+02	2.26251e-01
2.14286e+06	2.12307e+03	4.33714e+02	5.17041e-04	9.84266e-11	1.47978e+02	-7.24366e+02	2.99975e+02	2.04286e-01
1.53061e+06	2.20854e+03	4.09399e+02	3.48611e-04	1.02389e-10	1.81999e+02	-9.81812e+02	2.99972e+02	1.85371e-01
1.09329e+06	2.28999e+03	3.89964e+02	2.37187e-04	1.06165e-10	2.26922e+02	-1.33256e+03	2.99970e+02	1.70290e-01
7.80925e+05	2.36745e+03	3.73873e+02	1.62429e-04	1.09756e-10	2.86106e+02	-1.81169e+03	2.99967e+02	1.57922e-01
5.57803e+05	2.44244e+03	3.59467e+02	1.11550e-04	1.13233e-10	3.62990e+02	-2.46638e+03	2.99965e+02	1.47175e-01
3.98431e+05	2.51506e+03	3.46743e+02	7.68583e-05	1.16599e-10	4.63505e+02	-3.36197e+03	2.99964e+02	1.37867e-01
2.84594e+05	2.58582e+03	3.35283e+02	5.30842e-05	1.19880e-10	5.94871e+02	-4.58785e+03	2.99962e+02	1.29662e-01
2.03281e+05	2.65460e+03	3.24655e+02	3.67154e-05	1.23068e-10	7.66573e+02	-6.26800e+03	2.99959e+02	1.22299e-01
1.45201e+05	2.72155e+03	3.14516e+02	2.54063e-05	1.26173e-10	9.90718e+02	-8.57283e+03	2.99957e+02	1.15565e-01
1.03715e+05	2.78675e+03	3.04490e+02	1.75689e-05	1.29195e-10	1.28249e+03	-1.17376e+04	2.99956e+02	1.09264e-01
7.40820e+04	2.84972e+03	2.94395e+02	1.21331e-05	1.32114e-10	1.66217e+03	-1.60896e+04	2.99954e+02	1.03307e-01
5.29157e+04	2.91094e+03	2.84303e+02	8.36944e-06	1.34952e-10	2.15616e+03	-2.20766e+04	2.99952e+02	9.76673e-02
3.77969e+04	2.96752e+03	2.73814e+02	5.75760e-06	1.37576e-10	2.80028e+03	-3.03487e+04	2.99951e+02	9.22702e-02
2.69978e+04	3.02412e+03	2.63506e+02	3.95775e-06	1.40200e-10	3.63622e+03	-4.17310e+04	2.99950e+02	8.71347e-02
1.92842e+04	3.07809e+03	2.53304e+02	2.71752e-06	1.42702e-10	4.72737e+03	-5.74459e+04	2.99948e+02	8.22926e-02
1.37744e+04	3.12990e+03	2.43210e+02	1.86373e-06	1.45104e-10	6.15042e+03	-7.91506e+04	2.99946e+02	7.77052e-02
9.83886e+03	3.17973e+03	2.33336e+02	1.27719e-06	1.47414e-10	8.00936e+03	-1.09145e+05	2.99947e+02	7.33824e-02
7.02775e+03	3.22726e+03	2.23750e+02	8.74800e-07	1.49617e-10	1.04440e+04	-1.50640e+05	2.99943e+02	6.93312e-02
5.01983e+03	3.27235e+03	2.14481e+02	5.98972e-07	1.51708e-10	1.36392e+04	-2.08095e+05	2.99943e+02	6.55433e-02
3.58559e+03	3.31519e+03	2.05620e+02	4.10161e-07	1.53694e-10	1.78440e+04	-2.87698e+05	2.99941e+02	6.20236e-02
2.56114e+03	3.35613e+03	1.97567e+02	2.81499e-07	1.55592e-10	2.34302e+04	-3.98014e+05	2.99941e+02	5.88676e-02
1.82938e+03	3.39512e+03	1.89965e+02	1.93333e-07	1.57399e-10	3.08300e+04	-5.51005e+05	2.99939e+02	5.59523e-02
1.30670e+03	3.43251e+03	1.83225e+02	1.33196e-07	1.59133e-10	4.07401e+04	-7.63217e+05	2.99938e+02	5.33794e-02
9.33358e+02	3.46876e+03	1.77405e+02	9.21180e-08	1.60813e-10	5.40890e+04	-1.05759e+06	2.99938e+02	5.11438e-02
6.66685e+02	3.50613e+03	1.72681e+02	6.40462e-08	1.62546e-10	7.21584e+04	-1.46511e+06	2.99937e+02	4.92510e-02
4.76203e+02	3.53969e+03	1.68368e+02	4.46047e-08	1.64102e-10	9.66555e+04	-2.03204e+06	2.99933e+02	4.75657e-02
3.40145e+02	3.57242e+03	1.64779e+02	3.11813e-08	1.65619e-10	1.30035e+05	-2.81918e+06	2.99930e+02	4.61253e-02
2.42961e+02	3.60484e+03	1.62078e+02	2.19073e-08	1.67122e-10	1.75877e+05	-3.91177e+06	2.99929e+02	4.49611e-02
1.73543e+02	3.63714e+03	1.60078e+02	1.54550e-08	1.68620e-10	2.38911e+05	-5.42829e+06	2.99926e+02	4.40121e-02
1.23960e+02	3.66914e+03	1.58513e+02	1.09314e-08	1.70103e-10	3.25477e+05	-7.53387e+06	2.99927e+02	4.32018e-02
8.85426e+01	3.70054e+03	1.57007e+02	7.73394e-09	1.71559e-10	4.43741e+05	-1.04586e+07	2.99925e+02	4.24282e-02
6.32447e+01	3.73115e+03	1.55815e+02	5.48229e-09	1.72978e-10	6.06477e+05	-1.45227e+07	2.99923e+02	4.17605e-02
4.51748e+01	3.76192e+03	1.55626e+02	3.91117e-09	1.74405e-10	8.34248e+05	-2.01662e+07	2.99923e+02	4.13687e-02
3.22677e+01	3.79281e+03	1.55308e+02	2.78799e-09	1.75837e-10	1.14670e+06	-2.80037e+07	2.99923e+02	4.09480e-02
2.30484e+01	3.82174e+03	1.56193e+02	2.00277e-09	1.77178e-10	1.59018e+06	-3.89086e+07	2.99921e+02	4.08697e-02
1.64631e+01	3.85217e+03	1.59112e+02	1.45729e-09	1.78589e-10	2.23209e+06	-5.40398e+07	2.99920e+02	4.13046e-02
1.17594e+01	3.88121e+03	1.62463e+02	1.06284e-09	1.79935e-10	3.14303e+06	-7.50863e+07	2.99920e+02	4.18589e-02
8.39955e+00	3.91238e+03	1.68520e+02	7.87474e-10	1.81380e-10	4.49138e+06	-1.04273e+08	2.99917e+02	4.30735e-02
5.99968e+00	3.94373e+03	1.76426e+02	5.88869e-10	1.82833e-10	6.47775e+06	-1.44800e+08	2.99918e+02	4.47358e-02
4.28548e+00	3.97757e+03	1.87462e+02	4.46933e-10	1.84402e-10	9.47077e+06	-2.00951e+08	2.99916e+02	4.71297e-02
3.06106e+00	4.01387e+03	2.00133e+02	3.40817e-10	1.86085e-10	1.38968e+07	-2.78714e+08	2.99915e+02	4.98605e-02
2.18647e+00	4.05483e+03	2.16042e+02	2.62792e-10	1.87984e-10	2.05727e+07	-3.86122e+08	2.99914e+02	5.32802e-02
1.56176e+00	4.09933e+03	2.29650e+02	1.99532e-10	1.90047e-10	2.99459e+07	-5.34543e+08	2.99916e+02	5.60214e-02
1.11555e+00	4.15101e+03	2.39288e+02	1.48504e-10	1.92443e-10	4.25948e+07	-7.38907e+08	2.99917e+02	5.76457e-02
7.96819e-01	4.20738e+03	2.46042e+02	1.09068e-10	1.95056e-10	5.96781e+07	-1.02051e+09	2.99920e+02	5.84786e-02
5.69156e-01	4.25632e+03	2.46568e+02	7.80723e-11	1.97325e-10	8.18188e+07	-1.41238e+09	2.99920e+02	5.79298e-02
4.06540e-01	4.30567e+03	2.44400e+02	5.52756e-11	1.99613e-10	1.10966e+08	-1.95493e+09	2.99924e+02	5.67623e-02
2.90386e-01	4.35043e+03	2.38735e+02	3.85675e-11	2.01688e-10	1.48676e+08	-2.70931e+09	2.99934e+02	5.48762e-02
2.07419e-01	4.39171e+03	2.36025e+02	2.72355e-11	2.03602e-10	2.01960e+08	-3.75785e+09	2.99947e+02	5.37435e-02
1.48156e-01	4.42838e+03	2.33547e+02	1.92497e-11	2.05302e-10	2.75189e+08	-5.21797e+09	2.99957e+02	5.27387e-02
1.05826e-01	4.46209e+03	2.31557e+02	1.36326e-11	2.06865e-10	3.76266e+08	-7.25061e+09	2.99988e+02	5.18944e-02
7.55898e-02	4.49447e+03	2.33537e+02	9.82082e-12	2.08366e-10	5.23643e+08	-1.00776e+10	2.99993e+02	5.19609e-02
5.39927e-02	4.53008e+03	2.37629e+02	7.13781e-12	2.10017e-10	7.34229e+08	-1.39971e+10	3.00007e+02	5.24559e-02
3.85662e-02	4.56283e+03	2.39950e+02	5.14822e-12	2.11535e-10	1.02310e+09	-1.94550e+10	3.00001e+02	5.25879e-02
2.75473e-02	4.59545e+03	2.44407e+02	3.74561e-12	2.13047e-10	1.43821e+09	-2.70419e+10	2.99997e+02	5.31846e-02
1.96766e-02	4.62510e+03	2.47744e+02	2.71196e-12	2.14422e-10	2.01482e+09	-3.76145e+10	2.99994e+02	5.35651e-02
1.00000e-02	4.70110e+03	2.62866e+02	1.46239e-12	2.17945e-10	4.07055e+09	-7.27976e+10	2.99981e+02	5.59159e-02
