PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.6997e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	3.42383e+02	2.45479e+01	4.09698e-05	1.58731e-11	2.38404e+02	-3.32515e+03	2.69903e+02	7.16970e-02
2.14286e+06	3.46959e+02	2.29460e+01	2.73545e-05	1.60852e-11	3.04042e+02	-4.59733e+03	2.69907e+02	6.61346e-02
1.53061e+06	3.51397e+02	2.21574e+01	1.88675e-05	1.62909e-11	4.00874e+02	-6.35750e+03	2.69910e+02	6.30554e-02
1.09329e+06	3.56230e+02	2.18929e+01	1.33158e-05	1.65150e-11	5.39684e+02	-8.78147e+03	2.69914e+02	6.14571e-02
7.80925e+05	3.60785e+02	2.14406e+01	9.31483e-06	1.67262e-11	7.21560e+02	-1.21418e+04	2.69923e+02	5.94277e-02
5.57803e+05	3.65243e+02	2.11003e+01	6.54787e-06	1.69328e-11	9.70221e+02	-1.67943e+04	2.69928e+02	5.77708e-02
3.98431e+05	3.69673e+02	2.08146e+01	4.61371e-06	1.71382e-11	1.30821e+03	-2.32342e+04	2.69929e+02	5.63055e-02
2.84594e+05	3.74025e+02	2.05688e+01	3.25659e-06	1.73400e-11	1.76825e+03	-3.21540e+04	2.69930e+02	5.49931e-02
2.03281e+05	3.78362e+02	2.03018e+01	2.29594e-06	1.75410e-11	2.38807e+03	-4.45061e+04	2.69933e+02	5.36572e-02
1.45201e+05	3.82614e+02	2.01100e+01	1.62446e-06	1.77382e-11	3.23888e+03	-6.16232e+04	2.69935e+02	5.25595e-02
1.03715e+05	3.86958e+02	1.99142e+01	1.14903e-06	1.79396e-11	4.39053e+03	-8.53136e+04	2.69938e+02	5.14634e-02
7.40820e+04	3.91276e+02	1.97333e+01	8.13284e-07	1.81397e-11	5.95786e+03	-1.18134e+05	2.69940e+02	5.04333e-02
5.29157e+04	3.95443e+02	1.95399e+01	5.75222e-07	1.83329e-11	8.08691e+03	-1.63661e+05	2.69942e+02	4.94126e-02
3.77969e+04	3.99769e+02	1.93231e+01	4.06315e-07	1.85335e-11	1.09562e+04	-2.26669e+05	2.69944e+02	4.83356e-02
2.69978e+04	4.03856e+02	1.90945e+01	2.86791e-07	1.87230e-11	1.48535e+04	-3.14157e+05	2.69945e+02	4.72804e-02
1.92842e+04	4.07900e+02	1.88309e+01	2.02023e-07	1.89104e-11	2.01053e+04	-4.35505e+05	2.69949e+02	4.61655e-02
1.37744e+04	4.11916e+02	1.85406e+01	1.42078e-07	1.90966e-11	2.71786e+04	-6.03826e+05	2.69949e+02	4.50107e-02
9.83886e+03	4.15971e+02	1.82173e+01	9.97142e-08	1.92846e-11	3.66651e+04	-8.37206e+05	2.69952e+02	4.37946e-02
7.02775e+03	4.19699e+02	1.78586e+01	6.98221e-08	1.94575e-11	4.94357e+04	-1.16180e+06	2.69953e+02	4.25509e-02
5.01983e+03	4.23368e+02	1.75197e+01	4.89266e-08	1.96276e-11	6.67315e+04	-1.61258e+06	2.69953e+02	4.13817e-02
3.58559e+03	4.27019e+02	1.72797e+01	3.44687e-08	1.97968e-11	9.05822e+04	-2.23849e+06	2.69955e+02	4.04658e-02
