PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9294e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	6.23067e+02	6.70954e+01	1.11981e-04	2.88857e-11	1.95509e+02	-1.81555e+03	2.92986e+02	1.07686e-01
2.14286e+06	6.32889e+02	6.57250e+01	7.83526e-05	2.93410e-11	2.60074e+02	-2.50434e+03	2.92983e+02	1.03849e-01
1.53061e+06	6.45739e+02	6.37641e+01	5.42963e-05	2.99368e-11	3.39668e+02	-3.43982e+03	2.92981e+02	9.87459e-02
1.09329e+06	6.57764e+02	6.23372e+01	3.79152e-05	3.04943e-11	4.48393e+02	-4.73132e+03	2.92977e+02	9.47714e-02
7.80925e+05	6.69970e+02	6.09131e+01	2.64636e-05	3.10601e-11	5.91681e+02	-6.50777e+03	2.92975e+02	9.09192e-02
5.57803e+05	6.82153e+02	5.97754e+01	1.85495e-05	3.16249e-11	7.84563e+02	-8.95338e+03	2.92970e+02	8.76275e-02
3.98431e+05	6.93677e+02	5.87271e+01	1.30173e-05	3.21592e-11	1.04410e+03	-1.23328e+04	2.92967e+02	8.46606e-02
2.84594e+05	7.05520e+02	5.79034e+01	9.16765e-06	3.27082e-11	1.39385e+03	-1.69833e+04	2.92963e+02	8.20719e-02
2.03281e+05	7.17266e+02	5.71966e+01	6.46839e-06	3.32528e-11	1.86566e+03	-2.33960e+04	2.92958e+02	7.97425e-02
1.45201e+05	7.27362e+02	5.64048e+01	4.55632e-06	3.37209e-11	2.50561e+03	-3.23109e+04	2.92953e+02	7.75471e-02
1.03715e+05	7.39055e+02	5.58254e+01	3.22108e-06	3.42629e-11	3.36387e+03	-4.45332e+04	2.92949e+02	7.55362e-02
7.40820e+04	7.50445e+02	5.52604e+01	2.27749e-06	3.47910e-11	4.52259e+03	-6.14175e+04	2.92946e+02	7.36368e-02
5.29157e+04	7.61644e+02	5.47662e+01	1.61223e-06	3.53102e-11	6.09335e+03	-8.47414e+04	2.92945e+02	7.19052e-02
3.77969e+04	7.72484e+02	5.42685e+01	1.14113e-06	3.58127e-11	8.21952e+03	-1.17001e+05	2.92940e+02	7.02520e-02
2.69978e+04	7.82916e+02	5.38452e+01	8.08733e-07	3.62964e-11	1.11176e+04	-1.61651e+05	2.92937e+02	6.87752e-02
1.92842e+04	7.93659e+02	5.36497e+01	5.75569e-07	3.67944e-11	1.50935e+04	-2.23284e+05	2.92934e+02	6.75979e-02
1.37744e+04	8.04288e+02	5.36007e+01	4.10745e-07	3.72872e-11	2.05600e+04	-3.08506e+05	2.92935e+02	6.66437e-02
9.83886e+03	8.15071e+02	5.36703e+01	2.93770e-07	3.77871e-11	2.80667e+04	-4.26239e+05	2.92932e+02	6.58473e-02
7.02775e+03	8.25917e+02	5.38229e+01	2.10433e-07	3.82899e-11	3.83804e+04	-5.88950e+05	2.92932e+02	6.51674e-02
5.01983e+03	8.36820e+02	5.39776e+01	1.50741e-07	3.87954e-11	5.24965e+04	-8.13858e+05	2.92930e+02	6.45033e-02
3.58559e+03	8.47298e+02	5.40172e+01	1.07751e-07	3.92811e-11	7.17480e+04	-1.12542e+06	2.92922e+02	6.37523e-02
2.56114e+03	8.58196e+02	5.41147e+01	7.71041e-08	3.97864e-11	9.80978e+04	-1.55571e+06	2.92922e+02	6.30564e-02
1.82938e+03	8.69054e+02	5.41734e+01	5.51340e-08	4.02898e-11	1.34084e+05	-2.15098e+06	2.92919e+02	6.23360e-02
1.30670e+03	8.79841e+02	5.42696e+01	3.94514e-08	4.07899e-11	1.83482e+05	-2.97469e+06	2.92918e+02	6.16811e-02
9.33358e+02	8.90827e+02	5.44171e+01	2.82562e-08	4.12992e-11	2.51278e+05	-4.11351e+06	2.92917e+02	6.10860e-02
6.66685e+02	9.01641e+02	5.46563e+01	2.02717e-08	4.18005e-11	3.44930e+05	-5.69017e+06	2.92913e+02	6.06187e-02
4.76203e+02	9.12604e+02	5.49175e+01	1.45490e-08	4.23088e-11	4.73649e+05	-7.87096e+06	2.92914e+02	6.01768e-02
3.40145e+02	9.23089e+02	5.53142e+01	1.04672e-08	4.27948e-11	6.52831e+05	-1.08945e+07	2.92908e+02	5.99230e-02
