PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9694e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.52556e+03	2.99021e+02	4.99059e-04	7.07255e-11	1.41587e+02	-7.22354e+02	2.96972e+02	1.96008e-01
2.14286e+06	1.57615e+03	2.91528e+02	3.47538e-04	7.30713e-11	1.81783e+02	-9.82813e+02	2.96970e+02	1.84961e-01
1.53061e+06	1.63258e+03	2.79586e+02	2.38073e-04	7.56874e-11	2.28569e+02	-1.33468e+03	2.96967e+02	1.71254e-01
1.09329e+06	1.68846e+03	2.70819e+02	1.64720e-04	7.82777e-11	2.90806e+02	-1.81307e+03	2.96966e+02	1.60395e-01
7.80925e+05	1.73992e+03	2.63780e+02	1.14599e-04	8.06637e-11	3.74435e+02	-2.46981e+03	2.96966e+02	1.51605e-01
5.57803e+05	1.79275e+03	2.58089e+02	8.00903e-05	8.31126e-11	4.84188e+02	-3.36328e+03	2.96963e+02	1.43963e-01
3.98431e+05	1.84517e+03	2.53600e+02	5.62123e-05	8.55431e-11	6.29893e+02	-4.58305e+03	2.96961e+02	1.37440e-01
2.84594e+05	1.89631e+03	2.49882e+02	3.95630e-05	8.79138e-11	8.23925e+02	-6.25262e+03	2.96957e+02	1.31773e-01
2.03281e+05	1.94747e+03	2.46852e+02	2.79166e-05	9.02856e-11	1.08180e+03	-8.53458e+03	2.96957e+02	1.26755e-01
1.45201e+05	1.99796e+03	2.44261e+02	1.97311e-05	9.26265e-11	1.42541e+03	-1.16593e+04	2.96956e+02	1.22255e-01
1.03715e+05	2.04841e+03	2.41831e+02	1.39535e-05	9.49652e-11	1.88148e+03	-1.59369e+04	2.96953e+02	1.18058e-01
7.40820e+04	2.09821e+03	2.39460e+02	9.86903e-06	9.72740e-11	2.48813e+03	-2.18017e+04	2.96950e+02	1.14126e-01
5.29157e+04	2.14710e+03	2.36987e+02	6.97651e-06	9.95407e-11	3.29494e+03	-2.98522e+04	2.96948e+02	1.10375e-01
3.77969e+04	2.19597e+03	2.34492e+02	4.93076e-06	1.01806e-10	4.36683e+03	-4.08945e+04	2.96946e+02	1.06783e-01
2.69978e+04	2.24421e+03	2.32005e+02	3.48462e-06	1.04043e-10	5.79560e+03	-5.60613e+04	2.96945e+02	1.03380e-01
1.92842e+04	2.29190e+03	2.29472e+02	2.46184e-06	1.06254e-10	7.69974e+03	-7.69030e+04	2.96941e+02	1.00123e-01
1.37744e+04	2.33919e+03	2.26936e+02	1.73902e-06	1.08446e-10	1.02401e+04	-1.05552e+05	2.96940e+02	9.70147e-02
9.83886e+03	2.38776e+03	2.24395e+02	1.22825e-06	1.10698e-10	1.36126e+04	-1.44850e+05	2.96938e+02	9.39773e-02
7.02775e+03	2.43407e+03	2.21361e+02	8.65461e-07	1.12845e-10	1.81014e+04	-1.99042e+05	2.96935e+02	9.09428e-02
