PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.2196e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.18163e+03	2.68015e+02	4.47310e-04	1.01142e-10	6.34806e+01	-5.16730e+02	3.21904e+02	1.22851e-01
2.14286e+06	2.20948e+03	2.17726e+02	2.59557e-04	1.02433e-10	7.07636e+01	-7.18110e+02	3.21902e+02	9.85414e-02
1.53061e+06	2.23900e+03	1.82742e+02	1.55608e-04	1.03801e-10	8.12182e+01	-9.95106e+02	3.21906e+02	8.16176e-02
1.09329e+06	2.26539e+03	1.57233e+02	9.56333e-05	1.05024e-10	9.57429e+01	-1.37945e+03	3.21908e+02	6.94066e-02
7.80925e+05	2.28654e+03	1.38109e+02	6.00014e-05	1.06005e-10	1.15703e+02	-1.91559e+03	3.21911e+02	6.04009e-02
5.57803e+05	2.30804e+03	1.22995e+02	3.81678e-05	1.07002e-10	1.41697e+02	-2.65899e+03	3.21914e+02	5.32898e-02
3.98431e+05	2.32809e+03	1.11213e+02	2.46512e-05	1.07931e-10	1.76395e+02	-3.69257e+03	3.21917e+02	4.77701e-02
2.84594e+05	2.34722e+03	1.01584e+02	1.60835e-05	1.08818e-10	2.22000e+02	-5.12957e+03	3.21920e+02	4.32784e-02
2.03281e+05	2.36539e+03	9.38030e+01	1.06082e-05	1.09661e-10	2.82686e+02	-7.12837e+03	3.21924e+02	3.96565e-02
1.45201e+05	2.38470e+03	8.72642e+01	7.04911e-06	1.10556e-10	3.62320e+02	-9.90122e+03	3.21929e+02	3.65934e-02
1.03715e+05	2.40103e+03	8.15353e+01	4.70453e-06	1.11313e-10	4.67608e+02	-1.37700e+04	3.21929e+02	3.39585e-02
7.40820e+04	2.41655e+03	7.65674e+01	3.15563e-06	1.12033e-10	6.06980e+02	-1.91570e+04	3.21932e+02	3.16845e-02
5.29157e+04	2.43118e+03	7.21942e+01	2.12528e-06	1.12711e-10	7.91724e+02	-2.66617e+04	3.21935e+02	2.96952e-02
3.77969e+04	2.44522e+03	6.83571e+01	1.43737e-06	1.13362e-10	1.03758e+03	-3.71157e+04	3.21937e+02	2.79553e-02
2.69978e+04	2.45844e+03	6.50305e+01	9.76731e-07	1.13974e-10	1.36722e+03	-5.16869e+04	3.21941e+02	2.64520e-02
1.92842e+04	2.47116e+03	6.20207e+01	6.65375e-07	1.14564e-10	1.80689e+03	-7.19940e+04	3.21943e+02	2.50978e-02
1.37744e+04	2.48321e+03	5.93616e+01	4.54891e-07	1.15123e-10	2.39789e+03	-1.00308e+05	3.21944e+02	2.39052e-02
9.83886e+03	2.49488e+03	5.70325e+01	3.12174e-07	1.15664e-10	3.19540e+03	-1.39782e+05	3.21945e+02	2.28598e-02
7.02775e+03	2.50616e+03	5.48818e+01	2.14573e-07	1.16187e-10	4.26638e+03	-1.94822e+05	3.21946e+02	2.18988e-02
5.01983e+03	2.51685e+03	5.32047e+01	1.48583e-07	1.16683e-10	5.74148e+03	-2.71601e+05	3.21949e+02	2.11394e-02
