PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0193e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.27119e+03	5.20679e+02	8.69002e-04	1.05294e-10	1.09740e+02	-4.78686e+02	3.01962e+02	2.29254e-01
2.14286e+06	2.36498e+03	4.82945e+02	5.75731e-04	1.09642e-10	1.32794e+02	-6.50292e+02	3.01958e+02	2.04207e-01
1.53061e+06	2.45938e+03	4.47981e+02	3.81464e-04	1.14018e-10	1.60783e+02	-8.82686e+02	3.01954e+02	1.82152e-01
1.09329e+06	2.54757e+03	4.18983e+02	2.54837e-04	1.18106e-10	1.97374e+02	-1.20010e+03	3.01951e+02	1.64464e-01
7.80925e+05	2.62720e+03	3.93959e+02	1.71155e-04	1.21798e-10	2.45397e+02	-1.63648e+03	3.01949e+02	1.49954e-01
5.57803e+05	2.70494e+03	3.71533e+02	1.15294e-04	1.25402e-10	3.06730e+02	-2.23314e+03	3.01944e+02	1.37354e-01
3.98431e+05	2.77833e+03	3.51402e+02	7.78909e-05	1.28805e-10	3.86069e+02	-3.05241e+03	3.01938e+02	1.26480e-01
2.84594e+05	2.84892e+03	3.33110e+02	5.27402e-05	1.32077e-10	4.88401e+02	-4.17705e+03	3.01935e+02	1.16925e-01
2.03281e+05	2.91383e+03	3.15730e+02	3.57061e-05	1.35087e-10	6.20716e+02	-5.72850e+03	3.01933e+02	1.08356e-01
1.45201e+05	2.97761e+03	2.99821e+02	2.42192e-05	1.38043e-10	7.91494e+02	-7.86057e+03	3.01932e+02	1.00692e-01
1.03715e+05	3.03815e+03	2.84411e+02	1.64103e-05	1.40850e-10	1.01104e+03	-1.08002e+04	3.01928e+02	9.36130e-02
7.40820e+04	3.09570e+03	2.69841e+02	1.11212e-05	1.43518e-10	1.29498e+03	-1.48564e+04	3.01926e+02	8.71666e-02
5.29157e+04	3.15021e+03	2.55846e+02	7.53170e-06	1.46045e-10	1.66162e+03	-2.04594e+04	3.01924e+02	8.12155e-02
3.77969e+04	3.20174e+03	2.42607e+02	5.10139e-06	1.48434e-10	2.13727e+03	-2.82061e+04	3.01920e+02	7.57733e-02
2.69978e+04	3.25040e+03	2.30149e+02	3.45675e-06	1.50690e-10	2.75617e+03	-3.89255e+04	3.01921e+02	7.08063e-02
1.92842e+04	3.29630e+03	2.18300e+02	2.34198e-06	1.52818e-10	3.56099e+03	-5.37705e+04	3.01920e+02	6.62256e-02
1.37744e+04	3.33973e+03	2.07504e+02	1.59012e-06	1.54832e-10	4.61881e+03	-7.43386e+04	3.01918e+02	6.21320e-02
9.83886e+03	3.38116e+03	1.97478e+02	1.08092e-06	1.56752e-10	6.00671e+03	-1.02845e+05	3.01916e+02	5.84055e-02
7.02775e+03	3.42021e+03	1.88301e+02	7.36205e-07	1.58563e-10	7.83948e+03	-1.42393e+05	3.01915e+02	5.50554e-02
5.01983e+03	3.45753e+03	1.79866e+02	5.02304e-07	1.60293e-10	1.02619e+04	-1.97262e+05	3.01914e+02	5.20214e-02
3.58559e+03	3.49514e+03	1.72392e+02	3.43879e-07	1.62036e-10	1.34786e+04	-2.73270e+05	3.01914e+02	4.93233e-02
2.56114e+03	3.52913e+03	1.65772e+02	2.36196e-07	1.63612e-10	1.78016e+04	-3.78979e+05	3.01911e+02	4.69725e-02
1.82938e+03	3.56149e+03	1.59952e+02	1.62789e-07	1.65112e-10	2.36168e+04	-5.25850e+05	3.01910e+02	4.49117e-02
1.30670e+03	3.59298e+03	1.55213e+02	1.12832e-07	1.66572e-10	3.15286e+04	-7.29846e+05	3.01910e+02	4.31990e-02
9.33358e+02	3.62347e+03	1.51134e+02	7.84767e-08	1.67986e-10	4.22651e+04	-1.01331e+06	3.01909e+02	4.17098e-02
6.66685e+02	3.65350e+03	1.48008e+02	5.48951e-08	1.69378e-10	5.70039e+04	-1.40712e+06	3.01911e+02	4.05111e-02
4.76203e+02	3.68270e+03	1.45465e+02	3.85371e-08	1.70732e-10	7.72017e+04	-1.95450e+06	3.01911e+02	3.94994e-02
3.40145e+02	3.71157e+03	1.43873e+02	2.72252e-08	1.72070e-10	1.05249e+05	-2.71518e+06	3.01910e+02	3.87633e-02
2.42961e+02	3.73989e+03	1.42401e+02	1.92477e-08	1.73383e-10	1.43649e+05	-3.77267e+06	3.01911e+02	3.80763e-02
1.73543e+02	3.76889e+03	1.41919e+02	1.37018e-08	1.74728e-10	1.97362e+05	-5.24125e+06	3.01911e+02	3.76554e-02
1.23960e+02	3.79723e+03	1.41435e+02	9.75361e-09	1.76042e-10	2.71276e+05	-7.28320e+06	3.01911e+02	3.72468e-02
8.85426e+01	3.82538e+03	1.40901e+02	6.94056e-09	1.77346e-10	3.72818e+05	-1.01218e+07	3.01912e+02	3.68332e-02
6.32447e+01	3.85349e+03	1.40829e+02	4.95501e-09	1.78650e-10	5.14105e+05	-1.40674e+07	3.01912e+02	3.65458e-02
4.51748e+01	3.88188e+03	1.41355e+02	3.55253e-09	1.79966e-10	7.11915e+05	-1.95505e+07	3.01911e+02	3.64141e-02
3.22677e+01	3.90998e+03	1.42450e+02	2.55716e-09	1.81269e-10	9.90010e+05	-2.71740e+07	3.01912e+02	3.64323e-02
2.30484e+01	3.93697e+03	1.44220e+02	1.84925e-09	1.82520e-10	1.38405e+06	-3.77822e+07	3.01912e+02	3.66322e-02
1.64631e+01	3.96462e+03	1.47521e+02	1.35112e-09	1.83802e-10	1.95438e+06	-5.25239e+07	3.01913e+02	3.72093e-02
1.17594e+01	3.99232e+03	1.51744e+02	9.92714e-10	1.85086e-10	2.77537e+06	-7.30190e+07	3.01913e+02	3.80089e-02
8.39955e+00	4.02189e+03	1.58413e+02	7.40247e-10	1.86457e-10	3.99644e+06	-1.01464e+08	3.01913e+02	3.93877e-02
5.99968e+00	4.05215e+03	1.66034e+02	5.54186e-10	1.87860e-10	5.77620e+06	-1.40971e+08	3.01911e+02	4.09744e-02
4.28548e+00	4.08410e+03	1.77388e+02	4.22914e-10	1.89341e-10	8.50325e+06	-1.95775e+08	3.01913e+02	4.34338e-02
3.06106e+00	4.11853e+03	1.89221e+02	3.22234e-10	1.90937e-10	1.24845e+07	-2.71733e+08	3.01912e+02	4.59440e-02
2.18647e+00	4.15826e+03	2.03929e+02	2.48058e-10	1.92779e-10	1.84732e+07	-3.76681e+08	3.01913e+02	4.90420e-02
1.56176e+00	4.20349e+03	2.16819e+02	1.88383e-10	1.94876e-10	2.69017e+07	-5.21545e+08	3.01912e+02	5.15807e-02
1.11555e+00	4.24971e+03	2.26887e+02	1.40808e-10	1.97019e-10	3.85512e+07	-7.22085e+08	3.01916e+02	5.33887e-02
7.96819e-01	4.30406e+03	2.30972e+02	1.02388e-10	1.99538e-10	5.35632e+07	-9.98126e+08	3.01919e+02	5.36637e-02
5.69156e-01	4.35608e+03	2.29572e+02	7.26910e-11	2.01950e-10	7.27718e+07	-1.38083e+09	3.01923e+02	5.27015e-02
4.06540e-01	4.40452e+03	2.25415e+02	5.09818e-11	2.04195e-10	9.78630e+07	-1.91220e+09	3.01926e+02	5.11781e-02
2.90386e-01	4.44662e+03	2.19539e+02	3.54663e-11	2.06148e-10	1.30945e+08	-2.65222e+09	3.01927e+02	4.93721e-02
2.07419e-01	4.48636e+03	2.15274e+02	2.48409e-11	2.07990e-10	1.76616e+08	-3.68071e+09	3.01939e+02	4.79841e-02
1.48156e-01	4.52445e+03	2.11654e+02	1.74452e-11	2.09756e-10	2.39055e+08	-5.11020e+09	3.01954e+02	4.67800e-02
1.05826e-01	4.55898e+03	2.09904e+02	1.23578e-11	2.11357e-10	3.26923e+08	-7.10057e+09	3.01963e+02	4.60418e-02
7.55898e-02	4.59145e+03	2.09695e+02	8.81820e-12	2.12862e-10	4.50808e+08	-9.87084e+09	3.01984e+02	4.56707e-02
5.39927e-02	4.62670e+03	2.10418e+02	6.32045e-12	2.14496e-10	6.23706e+08	-1.37141e+10	3.02019e+02	4.54791e-02
3.85662e-02	4.65726e+03	2.10886e+02	4.52465e-12	2.15913e-10	8.63700e+08	-1.90741e+10	3.02014e+02	4.52812e-02
2.75473e-02	4.69275e+03	2.13860e+02	3.27747e-12	2.17558e-10	1.20772e+09	-2.65011e+10	3.01998e+02	4.55724e-02
1.96766e-02	4.72732e+03	2.14676e+02	2.34998e-12	2.19161e-10	1.67255e+09	-3.68308e+10	3.02007e+02	4.54118e-02
1.00000e-02	4.79901e+03	2.22141e+02	1.23583e-12	2.22484e-10	3.30421e+09	-7.13824e+10	3.02002e+02	4.62890e-02
