PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0393e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.39939e+03	5.28683e+02	8.82361e-04	1.11237e-10	1.00221e+02	-4.54843e+02	3.03963e+02	2.20341e-01
2.14286e+06	2.49231e+03	4.81530e+02	5.74045e-04	1.15545e-10	1.19724e+02	-6.19670e+02	3.03960e+02	1.93206e-01
1.53061e+06	2.58417e+03	4.36850e+02	3.71986e-04	1.19804e-10	1.42646e+02	-8.43817e+02	3.03958e+02	1.69048e-01
1.09329e+06	2.66793e+03	3.99462e+02	2.42964e-04	1.23687e-10	1.72358e+02	-1.15115e+03	3.03956e+02	1.49727e-01
7.80925e+05	2.74115e+03	3.67107e+02	1.59489e-04	1.27081e-10	2.10994e+02	-1.57547e+03	3.03953e+02	1.33925e-01
5.57803e+05	2.81122e+03	3.38384e+02	1.05008e-04	1.30330e-10	2.59754e+02	-2.15798e+03	3.03951e+02	1.20369e-01
3.98431e+05	2.87605e+03	3.13121e+02	6.94057e-05	1.33335e-10	3.22344e+02	-2.96077e+03	3.03951e+02	1.08872e-01
2.84594e+05	2.93416e+03	2.90486e+02	4.59916e-05	1.36029e-10	4.03060e+02	-4.07125e+03	3.03948e+02	9.90014e-02
2.03281e+05	2.99049e+03	2.70384e+02	3.05779e-05	1.38641e-10	5.06449e+02	-5.60140e+03	3.03946e+02	9.04146e-02
1.45201e+05	3.04294e+03	2.52513e+02	2.03978e-05	1.41072e-10	6.40354e+02	-7.71665e+03	3.03943e+02	8.29833e-02
1.03715e+05	3.09216e+03	2.36245e+02	1.36311e-05	1.43354e-10	8.13094e+02	-1.06424e+04	3.03940e+02	7.64011e-02
7.40820e+04	3.13830e+03	2.21545e+02	9.13068e-06	1.45493e-10	1.03722e+03	-1.46928e+04	3.03937e+02	7.05937e-02
5.29157e+04	3.18172e+03	2.08397e+02	6.13488e-06	1.47506e-10	1.32983e+03	-2.03033e+04	3.03933e+02	6.54982e-02
3.77969e+04	3.22264e+03	1.96466e+02	4.13116e-06	1.49403e-10	1.71186e+03	-2.80797e+04	3.03930e+02	6.09642e-02
2.69978e+04	3.26131e+03	1.85911e+02	2.79230e-06	1.51196e-10	2.21541e+03	-3.88635e+04	3.03927e+02	5.70049e-02
1.92842e+04	3.29783e+03	1.76175e+02	1.89005e-06	1.52889e-10	2.87554e+03	-5.38276e+04	3.03924e+02	5.34213e-02
1.37744e+04	3.33277e+03	1.67742e+02	1.28542e-06	1.54509e-10	3.75433e+03	-7.45925e+04	3.03920e+02	5.03312e-02
9.83886e+03	3.36619e+03	1.60177e+02	8.76744e-07	1.56058e-10	4.92114e+03	-1.03420e+05	3.03920e+02	4.75839e-02
7.02775e+03	3.39808e+03	1.53495e+02	6.00121e-07	1.57537e-10	6.48032e+03	-1.43462e+05	3.03918e+02	4.51710e-02
5.01983e+03	3.42838e+03	1.47435e+02	4.11736e-07	1.58941e-10	8.56258e+03	-1.99110e+05	3.03916e+02	4.30043e-02
3.58559e+03	3.45782e+03	1.42101e+02	2.83458e-07	1.60306e-10	1.13599e+04	-2.76425e+05	3.03912e+02	4.10957e-02
2.56114e+03	3.48819e+03	1.37547e+02	1.95981e-07	1.61714e-10	1.51292e+04	-3.83676e+05	3.03909e+02	3.94322e-02
1.82938e+03	3.51548e+03	1.33721e+02	1.36092e-07	1.62980e-10	2.02754e+04	-5.33034e+05	3.03908e+02	3.80377e-02
1.30670e+03	3.54195e+03	1.30565e+02	9.49143e-08	1.64206e-10	2.73053e+04	-7.40736e+05	3.03906e+02	3.68624e-02
9.33358e+02	3.56796e+03	1.28102e+02	6.65169e-08	1.65413e-10	3.69639e+04	-1.02954e+06	3.03904e+02	3.59033e-02
6.66685e+02	3.59367e+03	1.26227e+02	4.68169e-08	1.66604e-10	5.02681e+04	-1.43113e+06	3.03905e+02	3.51249e-02
4.76203e+02	3.61854e+03	1.24731e+02	3.30442e-08	1.67757e-10	6.85917e+04	-1.98990e+06	3.03903e+02	3.44699e-02
3.40145e+02	3.64358e+03	1.23838e+02	2.34340e-08	1.68918e-10	9.40378e+04	-2.76680e+06	3.03904e+02	3.39879e-02
2.42961e+02	3.66925e+03	1.23807e+02	1.67344e-08	1.70108e-10	1.29788e+05	-3.84649e+06	3.03903e+02	3.37418e-02
1.73543e+02	3.69415e+03	1.23576e+02	1.19308e-08	1.71263e-10	1.78930e+05	-5.34889e+06	3.03904e+02	3.34517e-02
1.23960e+02	3.71922e+03	1.23547e+02	8.52005e-09	1.72425e-10	2.47082e+05	-7.43808e+06	3.03902e+02	3.32186e-02
8.85426e+01	3.74438e+03	1.23686e+02	6.09260e-09	1.73591e-10	3.41671e+05	-1.03435e+07	3.03903e+02	3.30325e-02
6.32447e+01	3.76917e+03	1.23985e+02	4.36237e-09	1.74741e-10	4.73212e+05	-1.43857e+07	3.03902e+02	3.28945e-02
4.51748e+01	3.79489e+03	1.24415e+02	3.12678e-09	1.75933e-10	6.55818e+05	-2.00037e+07	3.03901e+02	3.27848e-02
3.22677e+01	3.81928e+03	1.25517e+02	2.25319e-09	1.77064e-10	9.14477e+05	-2.78262e+07	3.03901e+02	3.28639e-02
2.30484e+01	3.84374e+03	1.27468e+02	1.63445e-09	1.78198e-10	1.28366e+06	-3.87080e+07	3.03900e+02	3.31626e-02
1.64631e+01	3.86845e+03	1.30664e+02	1.19673e-09	1.79343e-10	1.81864e+06	-5.38429e+07	3.03902e+02	3.37768e-02
1.17594e+01	3.89377e+03	1.35063e+02	8.83588e-10	1.80517e-10	2.59754e+06	-7.48851e+07	3.03899e+02	3.46870e-02
8.39955e+00	3.92022e+03	1.41599e+02	6.61674e-10	1.81743e-10	3.76086e+06	-1.04121e+08	3.03902e+02	3.61201e-02
5.99968e+00	3.94872e+03	1.49685e+02	4.99614e-10	1.83065e-10	5.48511e+06	-1.44699e+08	3.03900e+02	3.79072e-02
4.28548e+00	3.97671e+03	1.60030e+02	3.81532e-10	1.84362e-10	8.09327e+06	-2.01116e+08	3.03899e+02	4.02419e-02
3.06106e+00	4.00897e+03	1.72178e+02	2.93211e-10	1.85858e-10	1.19926e+07	-2.79233e+08	3.03900e+02	4.29483e-02
2.18647e+00	4.04695e+03	1.85882e+02	2.26105e-10	1.87619e-10	1.77826e+07	-3.87155e+08	3.03902e+02	4.59313e-02
1.56176e+00	4.08983e+03	1.99145e+02	1.73027e-10	1.89607e-10	2.61087e+07	-5.36194e+08	3.03903e+02	4.86926e-02
1.11555e+00	4.13291e+03	2.05304e+02	1.27413e-10	1.91604e-10	3.68977e+07	-7.42776e+08	3.03906e+02	4.96755e-02
