PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0094e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.17416e+03	4.97256e+02	8.29909e-04	1.00795e-10	1.14394e+02	-5.00168e+02	3.01014e+02	2.28712e-01
2.14286e+06	2.26160e+03	4.64352e+02	5.53567e-04	1.04849e-10	1.39561e+02	-6.79721e+02	3.01007e+02	2.05320e-01
1.53061e+06	2.34722e+03	4.34171e+02	3.69705e-04	1.08818e-10	1.70903e+02	-9.23938e+02	3.00953e+02	1.84973e-01
1.09329e+06	2.43324e+03	4.10005e+02	2.49377e-04	1.12806e-10	2.11444e+02	-1.25485e+03	3.00947e+02	1.68502e-01
7.80925e+05	2.51171e+03	3.89230e+02	1.69100e-04	1.16444e-10	2.64865e+02	-1.70918e+03	3.00943e+02	1.54966e-01
5.57803e+05	2.58942e+03	3.70893e+02	1.15096e-04	1.20047e-10	3.33591e+02	-2.32900e+03	3.00942e+02	1.43234e-01
3.98431e+05	2.66345e+03	3.54701e+02	7.86221e-05	1.23479e-10	4.23311e+02	-3.17863e+03	3.00937e+02	1.33174e-01
2.84594e+05	2.73559e+03	3.39636e+02	5.37735e-05	1.26823e-10	5.39159e+02	-4.34263e+03	3.00937e+02	1.24155e-01
2.03281e+05	2.80480e+03	3.25610e+02	3.68235e-05	1.30032e-10	6.89695e+02	-5.94100e+03	3.00932e+02	1.16091e-01
1.45201e+05	2.87160e+03	3.12338e+02	2.52303e-05	1.33129e-10	8.85058e+02	-8.13713e+03	3.00929e+02	1.08768e-01
1.03715e+05	2.93335e+03	2.99162e+02	1.72614e-05	1.35992e-10	1.13898e+03	-1.11680e+04	3.00927e+02	1.01987e-01
7.40820e+04	2.99486e+03	2.86428e+02	1.18048e-05	1.38843e-10	1.46645e+03	-1.53330e+04	3.00926e+02	9.56397e-02
5.29157e+04	3.05362e+03	2.73945e+02	8.06450e-06	1.41567e-10	1.89078e+03	-2.10762e+04	3.00925e+02	8.97117e-02
3.77969e+04	3.10965e+03	2.61664e+02	5.50213e-06	1.44165e-10	2.44047e+03	-2.90028e+04	3.00923e+02	8.41459e-02
2.69978e+04	3.16296e+03	2.49743e+02	3.75104e-06	1.46636e-10	3.15465e+03	-3.99532e+04	3.00922e+02	7.89588e-02
1.92842e+04	3.21363e+03	2.38098e+02	2.55438e-06	1.48985e-10	4.08186e+03	-5.50932e+04	3.00922e+02	7.40901e-02
1.37744e+04	3.26174e+03	2.27073e+02	1.74007e-06	1.51216e-10	5.29380e+03	-7.60415e+04	3.00919e+02	6.96173e-02
9.83886e+03	3.30758e+03	2.16573e+02	1.18544e-06	1.53341e-10	6.87784e+03	-1.05041e+05	3.00919e+02	6.54777e-02
7.02775e+03	3.35086e+03	2.06614e+02	8.07805e-07	1.55347e-10	8.95481e+03	-1.45228e+05	3.00919e+02	6.16602e-02
5.01983e+03	3.39201e+03	1.97256e+02	5.50868e-07	1.57255e-10	1.16851e+04	-2.00937e+05	3.00919e+02	5.81531e-02
3.58559e+03	3.43116e+03	1.88798e+02	3.76606e-07	1.59070e-10	1.53078e+04	-2.78200e+05	3.00919e+02	5.50245e-02
2.56114e+03	3.46838e+03	1.81157e+02	2.58117e-07	1.60796e-10	2.01307e+04	-3.85416e+05	3.00918e+02	5.22310e-02
1.82938e+03	3.50592e+03	1.74185e+02	1.77274e-07	1.62536e-10	2.65280e+04	-5.33943e+05	3.00919e+02	4.96831e-02
1.30670e+03	3.54002e+03	1.68399e+02	1.22418e-07	1.64117e-10	3.52242e+04	-7.40471e+05	3.00922e+02	4.75700e-02
9.33358e+02	3.57343e+03	1.63590e+02	8.49445e-08	1.65666e-10	4.70220e+04	-1.02714e+06	3.00923e+02	4.57796e-02
6.66685e+02	3.60555e+03	1.59470e+02	5.91464e-08	1.67155e-10	6.30431e+04	-1.42538e+06	3.00922e+02	4.42290e-02
4.76203e+02	3.63681e+03	1.56068e+02	4.13461e-08	1.68604e-10	8.49086e+04	-1.97861e+06	3.00924e+02	4.29133e-02
3.40145e+02	3.66773e+03	1.53635e+02	2.90726e-08	1.70038e-10	1.15065e+05	-2.74694e+06	3.00926e+02	4.18884e-02
2.42961e+02	3.69810e+03	1.51783e+02	2.05158e-08	1.71446e-10	1.56556e+05	-3.81440e+06	3.00925e+02	4.10434e-02
1.73543e+02	3.72852e+03	1.50642e+02	1.45440e-08	1.72856e-10	2.14008e+05	-5.29687e+06	3.00926e+02	4.04026e-02
1.23960e+02	3.75835e+03	1.49483e+02	1.03087e-08	1.74239e-10	2.92620e+05	-7.35712e+06	3.00924e+02	3.97737e-02
8.85426e+01	3.78843e+03	1.48860e+02	7.33260e-09	1.75633e-10	4.01521e+05	-1.02186e+07	3.00923e+02	3.92932e-02
6.32447e+01	3.81844e+03	1.48532e+02	5.22603e-09	1.77025e-10	5.52126e+05	-1.41940e+07	3.00923e+02	3.88985e-02
4.51748e+01	3.84770e+03	1.48432e+02	3.73038e-09	1.78381e-10	7.60774e+05	-1.97210e+07	3.00921e+02	3.85768e-02
3.22677e+01	3.87732e+03	1.49562e+02	2.68485e-09	1.79754e-10	1.05686e+06	-2.73985e+07	3.00922e+02	3.85737e-02
