PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9095e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	5.26916e+02	4.89233e+01	8.16519e-05	2.44281e-11	1.99920e+02	-2.15318e+03	2.90966e+02	9.28483e-02
2.14286e+06	5.33492e+02	4.77296e+01	5.68997e-05	2.47330e-11	2.66531e+02	-2.97912e+03	2.90962e+02	8.94663e-02
1.53061e+06	5.42476e+02	4.62355e+01	3.93704e-05	2.51495e-11	3.49847e+02	-4.10471e+03	2.90961e+02	8.52304e-02
1.09329e+06	5.52003e+02	4.50257e+01	2.73859e-05	2.55911e-11	4.60928e+02	-5.65085e+03	2.90959e+02	8.15679e-02
7.80925e+05	5.61041e+02	4.38650e+01	1.90571e-05	2.60101e-11	6.08900e+02	-7.78793e+03	2.90957e+02	7.81851e-02
5.57803e+05	5.70010e+02	4.29463e+01	1.33271e-05	2.64260e-11	8.08897e+02	-1.07362e+04	2.90955e+02	7.53431e-02
3.98431e+05	5.78890e+02	4.21350e+01	9.33954e-06	2.68376e-11	1.07764e+03	-1.48057e+04	2.90953e+02	7.27859e-02
2.84594e+05	5.87637e+02	4.14267e+01	6.55895e-06	2.72431e-11	1.43998e+03	-2.04261e+04	2.90953e+02	7.04971e-02
2.03281e+05	5.96238e+02	4.08353e+01	4.61809e-06	2.76419e-11	1.93081e+03	-2.81918e+04	2.90952e+02	6.84883e-02
1.45201e+05	6.04760e+02	4.02982e+01	3.25525e-06	2.80370e-11	2.59357e+03	-3.89221e+04	2.90952e+02	6.66350e-02
1.03715e+05	6.13209e+02	3.97285e+01	2.29230e-06	2.84287e-11	3.48255e+03	-5.37531e+04	2.90949e+02	6.47878e-02
7.40820e+04	6.21520e+02	3.91796e+01	1.61474e-06	2.88139e-11	4.68153e+03	-7.42646e+04	2.90950e+02	6.30384e-02
5.29157e+04	6.29659e+02	3.86622e+01	1.13815e-06	2.91913e-11	6.30273e+03	-1.02647e+05	2.90948e+02	6.14018e-02
3.77969e+04	6.37701e+02	3.81903e+01	8.03043e-07	2.95641e-11	8.49924e+03	-1.41920e+05	2.90947e+02	5.98875e-02
2.69978e+04	6.45597e+02	3.77775e+01	5.67403e-07	2.99302e-11	1.14860e+04	-1.96290e+05	2.90945e+02	5.85157e-02
1.92842e+04	6.53398e+02	3.75124e+01	4.02443e-07	3.02919e-11	1.55905e+04	-2.71559e+05	2.90946e+02	5.74112e-02
1.37744e+04	6.61152e+02	3.73980e+01	2.86583e-07	3.06513e-11	2.12548e+04	-3.75760e+05	2.90944e+02	5.65649e-02
9.83886e+03	6.68862e+02	3.74137e+01	2.04788e-07	3.10088e-11	2.90889e+04	-5.20037e+05	2.90944e+02	5.59363e-02
7.02775e+03	6.76672e+02	3.75293e+01	1.46729e-07	3.13709e-11	3.99150e+04	-7.19686e+05	2.90942e+02	5.54616e-02
5.01983e+03	6.84533e+02	3.76599e+01	1.05171e-07	3.17353e-11	5.47976e+04	-9.96040e+05	2.90942e+02	5.50155e-02
3.58559e+03	6.92483e+02	3.77827e+01	7.53673e-08	3.21038e-11	7.52136e+04	-1.37852e+06	2.90941e+02	5.45613e-02
2.56114e+03	7.00451e+02	3.78833e+01	5.39771e-08	3.24732e-11	1.03196e+05	-1.90807e+06	2.90941e+02	5.40842e-02
1.82938e+03	7.08425e+02	3.79918e+01	3.86655e-08	3.28429e-11	1.41652e+05	-2.64136e+06	2.90940e+02	5.36286e-02
1.30670e+03	7.16469e+02	3.81001e+01	2.76969e-08	3.32159e-11	1.94447e+05	-3.65655e+06	2.90938e+02	5.31776e-02
9.33358e+02	7.24447e+02	3.82225e+01	1.98471e-08	3.35857e-11	2.67130e+05	-5.06302e+06	2.90939e+02	5.27610e-02
6.66685e+02	7.32457e+02	3.83526e+01	1.42247e-08	3.39571e-11	3.67107e+05	-7.01101e+06	2.90937e+02	5.23615e-02
4.76203e+02	7.40497e+02	3.85579e+01	1.02149e-08	3.43298e-11	5.05558e+05	-9.70914e+06	2.90937e+02	5.20704e-02
3.40145e+02	7.48623e+02	3.87586e+01	7.33435e-09	3.47065e-11	6.96125e+05	-1.34457e+07	2.90935e+02	5.17732e-02
2.42961e+02	7.56742e+02	3.89413e+01	5.26352e-09	3.50829e-11	9.58302e+05	-1.86226e+07	2.90935e+02	5.14592e-02
1.73543e+02	7.64945e+02	3.91365e+01	3.77850e-09	3.54632e-11	1.31962e+06	-2.57928e+07	2.90934e+02	5.11625e-02
1.23960e+02	7.73438e+02	3.93596e+01	2.71432e-09	3.58570e-11	1.81748e+06	-3.57144e+07	2.90934e+02	5.08892e-02
8.85426e+01	7.81579e+02	3.94251e+01	1.94202e-09	3.62344e-11	2.49599e+06	-4.94816e+07	2.90933e+02	5.04428e-02
6.32447e+01	7.89713e+02	3.96060e+01	1.39352e-09	3.66115e-11	3.43858e+06	-6.85626e+07	2.90932e+02	5.01524e-02
4.51748e+01	7.97702e+02	3.98514e+01	1.00154e-09	3.69819e-11	4.74740e+06	-9.50283e+07	2.90933e+02	4.99577e-02
3.22677e+01	8.05809e+02	4.02837e+01	7.23148e-10	3.73577e-11	6.58394e+06	-1.31701e+08	2.90932e+02	4.99917e-02
2.30484e+01	8.13677e+02	4.08799e+01	5.24178e-10	3.77225e-11	9.17367e+06	-1.82593e+08	2.90932e+02	5.02410e-02
1.64631e+01	8.21938e+02	4.19313e+01	3.84042e-10	3.81055e-11	1.29090e+07	-2.53042e+08	2.90932e+02	5.10151e-02
1.17594e+01	8.30231e+02	4.30476e+01	2.81619e-10	3.84899e-11	1.81833e+07	-3.50690e+08	2.90930e+02	5.18502e-02
8.39955e+00	8.39055e+02	4.49155e+01	2.09885e-10	3.88990e-11	2.60009e+07	-4.85717e+08	2.90931e+02	5.35311e-02
5.99968e+00	8.48081e+02	4.67983e+01	1.56202e-10	3.93175e-11	3.71175e+07	-6.72646e+08	2.90930e+02	5.51813e-02
4.28548e+00	8.58104e+02	4.91993e+01	1.17297e-10	3.97821e-11	5.33490e+07	-9.30480e+08	2.90929e+02	5.73349e-02
3.06106e+00	8.69074e+02	5.13364e+01	8.74232e-11	4.02907e-11	7.59626e+07	-1.28597e+09	2.90930e+02	5.90703e-02
2.18647e+00	8.80242e+02	5.28697e+01	6.43102e-11	4.08084e-11	1.06750e+08	-1.77731e+09	2.90934e+02	6.00627e-02
1.56176e+00	8.92207e+02	5.37519e+01	4.67024e-11	4.13632e-11	1.47892e+08	-2.45481e+09	2.90940e+02	6.02460e-02
1.11555e+00	9.03462e+02	5.40812e+01	3.35632e-11	4.18849e-11	2.03169e+08	-3.39407e+09	2.90951e+02	5.98600e-02
7.96819e-01	9.13896e+02	5.39708e+01	2.39248e-11	4.23687e-11	2.77438e+08	-4.69790e+09	2.90977e+02	5.90557e-02
5.69156e-01	9.24531e+02	5.46044e+01	1.72897e-11	4.28617e-11	3.83984e+08	-6.50140e+09	2.90980e+02	5.90617e-02
4.06540e-01	9.34279e+02	5.56045e+01	1.25760e-11	4.33136e-11	5.36031e+08	-9.00651e+09	2.90984e+02	5.95160e-02
2.90386e-01	9.44153e+02	5.74004e+01	9.27298e-12	4.37714e-11	7.58446e+08	-1.24753e+10	2.90986e+02	6.07956e-02
2.07419e-01	9.53473e+02	6.02111e+01	6.94789e-12	4.42035e-11	1.09183e+09	-1.72897e+10	2.90979e+02	6.31492e-02
1.48156e-01	9.62669e+02	6.27147e+01	5.16914e-12	4.46298e-11	1.56145e+09	-2.39683e+10	2.90964e+02	6.51468e-02
1.05826e-01	9.71626e+02	6.65725e+01	3.91936e-12	4.50451e-11	2.27689e+09	-3.32313e+10	2.90964e+02	6.85166e-02
7.55898e-02	9.82103e+02	7.15723e+01	3.00980e-12	4.55308e-11	3.35227e+09	-4.59993e+10	2.90973e+02	7.28765e-02
5.39927e-02	9.91866e+02	7.63596e+01	2.29366e-12	4.59834e-11	4.90601e+09	-6.37261e+10	2.90991e+02	7.69858e-02
3.85662e-02	1.00397e+03	8.23652e+01	1.76718e-12	4.65445e-11	7.22528e+09	-8.80707e+10	2.90998e+02	8.20396e-02
2.75473e-02	1.01142e+03	8.77258e+01	1.34442e-12	4.68901e-11	1.06072e+10	-1.22294e+11	2.90990e+02	8.67350e-02
1.96766e-02	1.02358e+03	9.52512e+01	1.04268e-12	4.74537e-11	1.57254e+10	-1.68987e+11	2.91004e+02	9.30568e-02
1.00000e-02	1.04983e+03	1.21100e+02	6.73708e-13	4.86708e-11	3.72249e+10	-3.22709e+11	2.90990e+02	1.15351e-01
