PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.8998e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	5.06727e+02	4.56713e+01	7.62245e-05	2.34921e-11	2.01899e+02	-2.24008e+03	2.90015e+02	9.01302e-02
2.14286e+06	5.12692e+02	4.44986e+01	5.30479e-05	2.37686e-11	2.69186e+02	-3.10144e+03	2.90010e+02	8.67939e-02
1.53061e+06	5.21125e+02	4.30669e+01	3.66723e-05	2.41596e-11	3.53274e+02	-4.27474e+03	2.90005e+02	8.26423e-02
1.09329e+06	5.30061e+02	4.19389e+01	2.55084e-05	2.45739e-11	4.65790e+02	-5.88707e+03	2.90007e+02	7.91209e-02
7.80925e+05	5.38421e+02	4.08534e+01	1.77487e-05	2.49615e-11	6.15962e+02	-8.11798e+03	2.90003e+02	7.58763e-02
5.57803e+05	5.46835e+02	3.99723e+01	1.24042e-05	2.53516e-11	8.18319e+02	-1.11949e+04	2.90002e+02	7.30975e-02
3.98431e+05	5.55082e+02	3.92219e+01	8.69383e-06	2.57339e-11	1.09137e+03	-1.54454e+04	2.89998e+02	7.06596e-02
2.84594e+05	5.63271e+02	3.85675e+01	6.10626e-06	2.61135e-11	1.45949e+03	-2.13156e+04	2.89997e+02	6.84705e-02
2.03281e+05	5.71285e+02	3.79538e+01	4.29221e-06	2.64851e-11	1.95529e+03	-2.94313e+04	2.89993e+02	6.64358e-02
1.45201e+05	5.79292e+02	3.74559e+01	3.02565e-06	2.68562e-11	2.62795e+03	-4.06438e+04	2.89992e+02	6.46581e-02
1.03715e+05	5.87178e+02	3.69361e+01	2.13118e-06	2.72219e-11	3.53205e+03	-5.61496e+04	2.89991e+02	6.29044e-02
7.40820e+04	5.94944e+02	3.64139e+01	1.50075e-06	2.75819e-11	4.74953e+03	-7.75996e+04	2.89989e+02	6.12056e-02
5.29157e+04	6.02560e+02	3.59088e+01	1.05710e-06	2.79350e-11	6.39364e+03	-1.07287e+05	2.89988e+02	5.95938e-02
3.77969e+04	6.10039e+02	3.54315e+01	7.45033e-07	2.82817e-11	8.61841e+03	-1.48387e+05	2.89986e+02	5.80807e-02
2.69978e+04	6.17363e+02	3.50254e+01	5.26067e-07	2.86212e-11	1.16480e+04	-2.05309e+05	2.89987e+02	5.67339e-02
1.92842e+04	6.24603e+02	3.47426e+01	3.72729e-07	2.89569e-11	1.58046e+04	-2.84135e+05	2.89985e+02	5.56235e-02
