PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.8193e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	4.13744e+02	3.39538e+01	5.66681e-05	1.91814e-11	2.25455e+02	-2.74729e+03	2.81919e+02	8.20647e-02
2.14286e+06	4.20115e+02	3.18771e+01	3.80016e-05	1.94767e-11	2.87692e+02	-3.79156e+03	2.81913e+02	7.58771e-02
1.53061e+06	4.26258e+02	3.08231e+01	2.62465e-05	1.97615e-11	3.78506e+02	-5.23443e+03	2.81911e+02	7.23109e-02
1.09329e+06	4.32743e+02	3.02002e+01	1.83686e-05	2.00622e-11	5.03935e+02	-7.22096e+03	2.81910e+02	6.97879e-02
7.80925e+05	4.38906e+02	2.94404e+01	1.27903e-05	2.03479e-11	6.68828e+02	-9.97108e+03	2.81907e+02	6.70768e-02
5.57803e+05	4.44976e+02	2.88641e+01	8.95713e-06	2.06293e-11	8.93415e+02	-1.37731e+04	2.81906e+02	6.48668e-02
3.98431e+05	4.50958e+02	2.83770e+01	6.28998e-06	2.09066e-11	1.19756e+03	-1.90312e+04	2.81904e+02	6.29261e-02
2.84594e+05	4.56916e+02	2.79121e+01	4.41923e-06	2.11828e-11	1.60676e+03	-2.63023e+04	2.81903e+02	6.10881e-02
2.03281e+05	4.62779e+02	2.75230e+01	3.11259e-06	2.14546e-11	2.16267e+03	-3.63637e+04	2.81902e+02	5.94733e-02
1.45201e+05	4.68634e+02	2.71486e+01	2.19303e-06	2.17261e-11	2.91291e+03	-5.02822e+04	2.81899e+02	5.79313e-02
1.03715e+05	4.74243e+02	2.67637e+01	1.54425e-06	2.19861e-11	3.92641e+03	-6.95745e+04	2.81900e+02	5.64347e-02
7.40820e+04	4.79513e+02	2.63161e+01	1.08459e-06	2.22305e-11	5.28779e+03	-9.63502e+04	2.81901e+02	5.48810e-02
5.29157e+04	4.85075e+02	2.59329e+01	7.63423e-07	2.24883e-11	7.12987e+03	-1.33364e+05	2.81901e+02	5.34617e-02
3.77969e+04	4.90608e+02	2.55188e+01	5.36594e-07	2.27448e-11	9.60355e+03	-1.84632e+05	2.81900e+02	5.20145e-02
2.69978e+04	4.95939e+02	2.51253e+01	3.77372e-07	2.29920e-11	1.29564e+04	-2.55742e+05	2.81901e+02	5.06621e-02
1.92842e+04	5.01149e+02	2.47818e+01	2.65866e-07	2.32335e-11	1.75231e+04	-3.54359e+05	2.81902e+02	4.94500e-02
1.37744e+04	5.06239e+02	2.45425e+01	1.88070e-07	2.34695e-11	2.38115e+04	-4.91161e+05	2.81904e+02	4.84800e-02
9.83886e+03	5.11289e+02	2.44492e+01	1.33825e-07	2.37036e-11	3.25586e+04	-6.80877e+05	2.81904e+02	4.78187e-02
7.02775e+03	5.16372e+02	2.44978e+01	9.57798e-08	2.39393e-11	4.47797e+04	-9.43879e+05	2.81907e+02	4.74422e-02
5.01983e+03	5.21513e+02	2.46563e+01	6.88567e-08	2.41776e-11	6.18603e+04	-1.30842e+06	2.81907e+02	4.72785e-02
3.58559e+03	5.26754e+02	2.48688e+01	4.96071e-08	2.44206e-11	8.56216e+04	-1.81358e+06	2.81908e+02	4.72113e-02
2.56114e+03	5.32038e+02	2.50881e+01	3.57461e-08	2.46655e-11	1.18538e+05	-2.51381e+06	2.81908e+02	4.71547e-02
1.82938e+03	5.37406e+02	2.52852e+01	2.57336e-08	2.49144e-11	1.63934e+05	-3.48421e+06	2.81910e+02	4.70505e-02
1.30670e+03	5.42826e+02	2.54795e+01	1.85224e-08	2.51657e-11	2.26678e+05	-4.82924e+06	2.81913e+02	4.69386e-02
9.33358e+02	5.48298e+02	2.56391e+01	1.33131e-08	2.54194e-11	3.13000e+05	-6.69358e+06	2.81912e+02	4.67612e-02
6.66685e+02	5.53822e+02	2.58124e+01	9.57365e-09	2.56755e-11	4.32411e+05	-9.27768e+06	2.81914e+02	4.66077e-02
4.76203e+02	5.59338e+02	2.59601e+01	6.87744e-09	2.59312e-11	5.96901e+05	-1.28609e+07	2.81916e+02	4.64121e-02
3.40145e+02	5.64903e+02	2.61149e+01	4.94176e-09	2.61892e-11	8.24178e+05	-1.78282e+07	2.81917e+02	4.62290e-02
2.42961e+02	5.70491e+02	2.62646e+01	3.55006e-09	2.64483e-11	1.13786e+06	-2.47154e+07	2.81919e+02	4.60385e-02
1.73543e+02	5.76102e+02	2.63492e+01	2.54393e-09	2.67084e-11	1.56720e+06	-3.42655e+07	2.81922e+02	4.57371e-02
1.23960e+02	5.81741e+02	2.64291e+01	1.82260e-09	2.69698e-11	2.15834e+06	-4.75080e+07	2.81921e+02	4.54311e-02
8.85426e+01	5.87297e+02	2.65000e+01	1.30535e-09	2.72274e-11	2.97280e+06	-6.58838e+07	2.81922e+02	4.51219e-02
6.32447e+01	5.92851e+02	2.65621e+01	9.34577e-10	2.74848e-11	4.09401e+06	-9.13759e+07	2.81924e+02	4.48040e-02
4.51748e+01	5.98381e+02	2.67109e+01	6.71296e-10	2.77412e-11	5.65777e+06	-1.26746e+08	2.81927e+02	4.46387e-02
3.22677e+01	6.03856e+02	2.69665e+01	4.84085e-10	2.79950e-11	7.85229e+06	-1.75835e+08	2.81927e+02	4.46571e-02
2.30484e+01	6.09302e+02	2.73837e+01	3.51125e-10	2.82475e-11	1.09644e+07	-2.43963e+08	2.81927e+02	4.49427e-02
1.64631e+01	6.14880e+02	2.78944e+01	2.55480e-10	2.85061e-11	1.53534e+07	-3.38437e+08	2.81928e+02	4.53656e-02
1.17594e+01	6.20543e+02	2.86998e+01	1.87755e-10	2.87687e-11	2.17118e+07	-4.69449e+08	2.81930e+02	4.62495e-02
8.39955e+00	6.26439e+02	2.97871e+01	1.39192e-10	2.90420e-11	3.09532e+07	-6.50963e+08	2.81931e+02	4.75498e-02
5.99968e+00	6.32484e+02	3.10286e+01	1.03567e-10	2.93223e-11	4.42755e+07	-9.02507e+08	2.81932e+02	4.90583e-02
4.28548e+00	6.39165e+02	3.24648e+01	7.74001e-11	2.96320e-11	6.34951e+07	-1.25009e+09	2.81934e+02	5.07925e-02
3.06106e+00	6.46400e+02	3.40695e+01	5.80186e-11	2.99674e-11	9.11924e+07	-1.73019e+09	2.81936e+02	5.27066e-02
2.18647e+00	6.54090e+02	3.54490e+01	4.31198e-11	3.03239e-11	1.29713e+08	-2.39341e+09	2.81937e+02	5.41960e-02
1.56176e+00	6.62113e+02	3.59070e+01	3.11978e-11	3.06959e-11	1.79513e+08	-3.31016e+09	2.81939e+02	5.42310e-02
1.11555e+00	6.70172e+02	3.63625e+01	2.25669e-11	3.10695e-11	2.48421e+08	-4.57848e+09	2.81943e+02	5.42585e-02
7.96819e-01	6.77895e+02	3.61595e+01	1.60292e-11	3.14275e-11	3.38047e+08	-6.33748e+09	2.81949e+02	5.33410e-02
5.69156e-01	6.85055e+02	3.65189e+01	1.15632e-11	3.17595e-11	4.68032e+08	-8.77976e+09	2.81953e+02	5.33080e-02
4.06540e-01	6.92146e+02	3.65558e+01	8.26779e-12	3.20882e-11	6.42569e+08	-1.21664e+10	2.81963e+02	5.28152e-02
2.90386e-01	6.98936e+02	3.72403e+01	6.01614e-12	3.24030e-11	8.98677e+08	-1.68666e+10	2.81968e+02	5.32814e-02
2.07419e-01	7.05488e+02	3.86991e+01	4.46558e-12	3.27068e-11	1.28304e+09	-2.33900e+10	2.81978e+02	5.48544e-02
1.48156e-01	7.12831e+02	4.05867e+01	3.34528e-12	3.30472e-11	1.84483e+09	-3.24011e+10	2.82001e+02	5.69373e-02
1.05826e-01	7.19963e+02	4.31930e+01	2.54293e-12	3.33778e-11	2.69348e+09	-4.48963e+10	2.82012e+02	5.99934e-02
7.55898e-02	7.27446e+02	4.67049e+01	1.96406e-12	3.37247e-11	3.99194e+09	-6.21758e+10	2.82007e+02	6.42040e-02
5.39927e-02	7.34958e+02	5.08830e+01	1.52840e-12	3.40730e-11	5.96084e+09	-8.60989e+10	2.82006e+02	6.92325e-02
3.85662e-02	7.41385e+02	5.42186e+01	1.16328e-12	3.43710e-11	8.73391e+09	-1.19428e+11	2.82020e+02	7.31315e-02
2.75473e-02	7.49009e+02	5.98904e+01	9.17837e-13	3.47244e-11	1.32193e+10	-1.65325e+11	2.81994e+02	7.99595e-02
1.96766e-02	7.56446e+02	6.59458e+01	7.21884e-13	3.50692e-11	1.99556e+10	-2.28905e+11	2.82006e+02	8.71784e-02
1.00000e-02	7.76088e+02	8.46599e+01	4.70985e-13	3.59798e-11	4.76860e+10	-4.37143e+11	2.81994e+02	1.09085e-01
