PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.1593e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.37602e+03	3.28469e+02	5.48207e-04	1.10153e-10	6.53316e+01	-4.72584e+02	3.15928e+02	1.38243e-01
2.14286e+06	2.41456e+03	2.74936e+02	3.27759e-04	1.11940e-10	7.45833e+01	-6.55008e+02	3.15925e+02	1.13866e-01
1.53061e+06	2.45349e+03	2.31415e+02	1.97054e-04	1.13745e-10	8.54640e+01	-9.06100e+02	3.15922e+02	9.43207e-02
1.09329e+06	2.48787e+03	1.99639e+02	1.21426e-04	1.15339e-10	1.00632e+02	-1.25406e+03	3.15918e+02	8.02450e-02
7.80925e+05	2.51545e+03	1.75942e+02	7.64378e-05	1.16617e-10	1.21642e+02	-1.73911e+03	3.15915e+02	6.99446e-02
5.57803e+05	2.54324e+03	1.57451e+02	4.88602e-05	1.17906e-10	1.49246e+02	-2.41070e+03	3.15913e+02	6.19096e-02
3.98431e+05	2.56968e+03	1.43147e+02	3.17296e-05	1.19131e-10	1.86208e+02	-3.34268e+03	3.15909e+02	5.57062e-02
2.84594e+05	2.59469e+03	1.31763e+02	2.08617e-05	1.20291e-10	2.35480e+02	-4.63707e+03	3.15904e+02	5.07820e-02
2.03281e+05	2.61870e+03	1.22588e+02	1.38635e-05	1.21404e-10	3.01231e+02	-6.43485e+03	3.15902e+02	4.68125e-02
1.45201e+05	2.64162e+03	1.14983e+02	9.28825e-06	1.22467e-10	3.88845e+02	-8.93328e+03	3.15900e+02	4.35277e-02
1.03715e+05	2.66361e+03	1.08429e+02	6.25628e-06	1.23486e-10	5.05028e+02	-1.24063e+04	3.15897e+02	4.07075e-02
7.40820e+04	2.68426e+03	1.02568e+02	4.22719e-06	1.24443e-10	6.58699e+02	-1.72386e+04	3.15902e+02	3.82108e-02
5.29157e+04	2.70424e+03	9.74160e+01	2.86777e-06	1.25370e-10	8.63106e+02	-2.39596e+04	3.15904e+02	3.60234e-02
3.77969e+04	2.72342e+03	9.28815e+01	1.95306e-06	1.26259e-10	1.13608e+03	-3.33116e+04	3.15904e+02	3.41047e-02
2.69978e+04	2.74184e+03	8.87764e+01	1.33338e-06	1.27113e-10	1.50004e+03	-4.63284e+04	3.15907e+02	3.23785e-02
1.92842e+04	2.75956e+03	8.51707e+01	9.13735e-07	1.27934e-10	1.98916e+03	-6.44493e+04	3.15909e+02	3.08639e-02
1.37744e+04	2.77660e+03	8.18576e+01	6.27279e-07	1.28725e-10	2.64395e+03	-8.96827e+04	3.15911e+02	2.94812e-02
9.83886e+03	2.79309e+03	7.89224e+01	4.31991e-07	1.29489e-10	3.52705e+03	-1.24823e+05	3.15910e+02	2.82563e-02
7.02775e+03	2.80907e+03	7.61881e+01	2.97874e-07	1.30230e-10	4.71300e+03	-1.73769e+05	3.15913e+02	2.71221e-02
5.01983e+03	2.82429e+03	7.37253e+01	2.05889e-07	1.30936e-10	6.31662e+03	-2.41979e+05	3.15913e+02	2.61040e-02
3.58559e+03	2.83911e+03	7.17849e+01	1.43193e-07	1.31622e-10	8.52124e+03	-3.37017e+05	3.15913e+02	2.52843e-02
2.56114e+03	2.85343e+03	7.00986e+01	9.98782e-08	1.32286e-10	1.15333e+04	-4.69473e+05	3.15913e+02	2.45664e-02
1.82938e+03	2.86746e+03	6.87206e+01	6.99392e-08	1.32937e-10	1.56751e+04	-6.54065e+05	3.15914e+02	2.39656e-02
1.30670e+03	2.88118e+03	6.76150e+01	4.91529e-08	1.33573e-10	2.13874e+04	-9.11351e+05	3.15912e+02	2.34678e-02
9.33358e+02	2.89475e+03	6.68714e+01	3.47231e-08	1.34202e-10	2.93367e+04	-1.26993e+06	3.15912e+02	2.31009e-02
6.66685e+02	2.90845e+03	6.64959e+01	2.46629e-08	1.34837e-10	4.04574e+04	-1.76955e+06	3.15911e+02	2.28630e-02
4.76203e+02	2.92198e+03	6.63582e+01	1.75799e-08	1.35465e-10	5.60009e+04	-2.46591e+06	3.15914e+02	2.27100e-02
3.40145e+02	2.93302e+03	6.63830e+01	1.25618e-08	1.35976e-10	7.78417e+04	-3.43930e+06	3.15913e+02	2.26330e-02
2.42961e+02	2.94655e+03	6.66289e+01	9.00592e-09	1.36603e-10	1.08380e+05	-4.79292e+06	3.15914e+02	2.26125e-02
1.73543e+02	2.96038e+03	6.70764e+01	6.47600e-09	1.37244e-10	1.51327e+05	-6.67873e+06	3.15914e+02	2.26581e-02
1.23960e+02	2.97394e+03	6.74127e+01	4.64891e-09	1.37873e-10	2.10982e+05	-9.30758e+06	3.15915e+02	2.26678e-02
8.85426e+01	2.98774e+03	6.79870e+01	3.34894e-09	1.38513e-10	2.95145e+05	-1.29704e+07	3.15914e+02	2.27553e-02
