PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.8795e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	4.72389e+02	4.29363e+01	7.16598e-05	2.19002e-11	2.18375e+02	-2.40258e+03	2.87902e+02	9.08919e-02
2.14286e+06	4.80663e+02	3.99528e+01	4.76288e-05	2.22838e-11	2.75140e+02	-3.31015e+03	2.87903e+02	8.31202e-02
1.53061e+06	4.88305e+02	3.86683e+01	3.29268e-05	2.26381e-11	3.61464e+02	-4.56458e+03	2.87905e+02	7.91888e-02
1.09329e+06	4.96400e+02	3.77339e+01	2.29508e-05	2.30133e-11	4.78081e+02	-6.28929e+03	2.87906e+02	7.60151e-02
7.80925e+05	5.04047e+02	3.67483e+01	1.59652e-05	2.33679e-11	6.32494e+02	-8.67541e+03	2.87908e+02	7.29065e-02
5.57803e+05	5.11702e+02	3.59600e+01	1.11591e-05	2.37228e-11	8.41080e+02	-1.19683e+04	2.87910e+02	7.02753e-02
3.98431e+05	5.19185e+02	3.53178e+01	7.82844e-06	2.40697e-11	1.12373e+03	-1.65193e+04	2.87913e+02	6.80254e-02
2.84594e+05	5.26568e+02	3.47269e+01	5.49820e-06	2.44119e-11	1.50425e+03	-2.28091e+04	2.87912e+02	6.59496e-02
2.03281e+05	5.33886e+02	3.42042e+01	3.86817e-06	2.47512e-11	2.01827e+03	-3.15027e+04	2.87912e+02	6.40665e-02
1.45201e+05	5.41139e+02	3.37380e+01	2.72532e-06	2.50875e-11	2.71343e+03	-4.35221e+04	2.87915e+02	6.23462e-02
1.03715e+05	5.48246e+02	3.32590e+01	1.91902e-06	2.54170e-11	3.64916e+03	-6.01534e+04	2.87917e+02	6.06643e-02
7.40820e+04	5.55297e+02	3.27899e+01	1.35140e-06	2.57438e-11	4.91063e+03	-8.31615e+04	2.87919e+02	5.90494e-02
5.29157e+04	5.62221e+02	3.23297e+01	9.51735e-07	2.60648e-11	6.61366e+03	-1.15013e+05	2.87920e+02	5.75036e-02
3.77969e+04	5.69052e+02	3.18676e+01	6.70094e-07	2.63815e-11	8.91050e+03	-1.59112e+05	2.87922e+02	5.60013e-02
2.69978e+04	5.75687e+02	3.14600e+01	4.72515e-07	2.66891e-11	1.20346e+04	-2.20223e+05	2.87922e+02	5.46476e-02
1.92842e+04	5.82259e+02	3.11611e+01	3.34305e-07	2.69938e-11	1.63159e+04	-3.04869e+05	2.87925e+02	5.35176e-02
1.37744e+04	5.88673e+02	3.10013e+01	2.37565e-07	2.72912e-11	2.22346e+04	-4.22204e+05	2.87925e+02	5.26631e-02
9.83886e+03	5.95124e+02	3.09840e+01	1.69594e-07	2.75902e-11	3.04421e+04	-5.84715e+05	2.87927e+02	5.20630e-02
7.02775e+03	6.01616e+02	3.10632e+01	1.21448e-07	2.78912e-11	4.18125e+04	-8.09803e+05	2.87928e+02	5.16329e-02
5.01983e+03	6.08218e+02	3.12237e+01	8.71970e-08	2.81973e-11	5.75713e+04	-1.12145e+06	2.87929e+02	5.13363e-02
3.58559e+03	6.14876e+02	3.13809e+01	6.25972e-08	2.85059e-11	7.92633e+04	-1.55308e+06	2.87930e+02	5.10361e-02
