PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.7993e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	3.99029e+02	3.17688e+01	5.30213e-05	1.84992e-11	2.26881e+02	-2.84972e+03	2.79950e+02	7.96152e-02
2.14286e+06	4.05029e+02	2.99357e+01	3.56872e-05	1.87774e-11	2.90757e+02	-3.93393e+03	2.79947e+02	7.39100e-02
1.53061e+06	4.10614e+02	2.89379e+01	2.46412e-05	1.90363e-11	3.83050e+02	-5.43528e+03	2.79943e+02	7.04748e-02
1.09329e+06	4.16860e+02	2.83933e+01	1.72696e-05	1.93259e-11	5.10693e+02	-7.49781e+03	2.79940e+02	6.81123e-02
7.80925e+05	4.22648e+02	2.77064e+01	1.20370e-05	1.95941e-11	6.78927e+02	-1.03567e+04	2.79937e+02	6.55543e-02
5.57803e+05	4.28379e+02	2.71786e+01	8.43408e-06	1.98599e-11	9.07855e+02	-1.43093e+04	2.79935e+02	6.34452e-02
3.98431e+05	4.34034e+02	2.67368e+01	5.92641e-06	2.01220e-11	1.21825e+03	-1.97765e+04	2.79934e+02	6.16007e-02
2.84594e+05	4.39640e+02	2.63155e+01	4.16644e-06	2.03819e-11	1.63648e+03	-2.73399e+04	2.79932e+02	5.98569e-02
2.03281e+05	4.45137e+02	2.59378e+01	2.93332e-06	2.06368e-11	2.20318e+03	-3.78102e+04	2.79931e+02	5.82693e-02
1.45201e+05	4.50643e+02	2.55861e+01	2.06682e-06	2.08920e-11	2.96923e+03	-5.22965e+04	2.79929e+02	5.67769e-02
1.03715e+05	4.56007e+02	2.52257e+01	1.45550e-06	2.11407e-11	4.00317e+03	-7.23658e+04	2.79927e+02	5.53186e-02
7.40820e+04	4.61364e+02	2.48672e+01	1.02487e-06	2.13890e-11	5.39808e+03	-1.00151e+05	2.79925e+02	5.38993e-02
5.29157e+04	4.66603e+02	2.44973e+01	7.21160e-07	2.16319e-11	7.27972e+03	-1.38658e+05	2.79923e+02	5.25013e-02
3.77969e+04	4.71841e+02	2.41069e+01	5.06905e-07	2.18748e-11	9.80920e+03	-1.91994e+05	2.79920e+02	5.10911e-02
2.69978e+04	4.76841e+02	2.37242e+01	3.56327e-07	2.21066e-11	1.32347e+04	-2.66009e+05	2.79919e+02	4.97528e-02
1.92842e+04	4.81726e+02	2.33855e+01	2.50886e-07	2.23331e-11	1.78976e+04	-3.68679e+05	2.79917e+02	4.85452e-02
1.37744e+04	4.86492e+02	2.31325e+01	1.77265e-07	2.25540e-11	2.43046e+04	-5.11144e+05	2.79917e+02	4.75495e-02
9.83886e+03	4.91218e+02	2.30339e+01	1.26079e-07	2.27731e-11	3.32348e+04	-7.08760e+05	2.79915e+02	4.68915e-02
