PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.3593e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.78568e+03	1.76022e+02	2.93777e-04	8.27849e-11	6.25623e+01	-6.34670e+02	3.35912e+02	9.85744e-02
2.14286e+06	1.80147e+03	1.40714e+02	1.67749e-04	8.35170e-11	6.90432e+01	-8.83915e+02	3.35909e+02	7.81107e-02
1.53061e+06	1.81890e+03	1.15799e+02	9.86054e-05	8.43249e-11	7.81881e+01	-1.22812e+03	3.35906e+02	6.36646e-02
1.09329e+06	1.83474e+03	9.75243e+01	5.93170e-05	8.50595e-11	9.07137e+01	-1.70661e+03	3.35905e+02	5.31542e-02
7.80925e+05	1.84585e+03	8.39236e+01	3.64605e-05	8.55743e-11	1.08059e+02	-2.37668e+03	3.35904e+02	4.54662e-02
5.57803e+05	1.85917e+03	7.28461e+01	2.26056e-05	8.61919e-11	1.29507e+02	-3.30526e+03	3.35904e+02	3.91821e-02
3.98431e+05	1.87043e+03	6.43432e+01	1.42621e-05	8.67142e-11	1.58279e+02	-4.60112e+03	3.35903e+02	3.44001e-02
2.84594e+05	1.88094e+03	5.74777e+01	9.10025e-06	8.72012e-11	1.95790e+02	-6.40718e+03	3.35902e+02	3.05580e-02
2.03281e+05	1.89081e+03	5.19690e+01	5.87720e-06	8.76590e-11	2.45298e+02	-8.92480e+03	3.35901e+02	2.74850e-02
1.45201e+05	1.89998e+03	4.73949e+01	3.82851e-06	8.80840e-11	3.10217e+02	-1.24361e+04	3.35900e+02	2.49449e-02
1.03715e+05	1.90837e+03	4.35990e+01	2.51563e-06	8.84729e-11	3.96057e+02	-1.73357e+04	3.35901e+02	2.28462e-02
7.40820e+04	1.91619e+03	4.04872e+01	1.66863e-06	8.88354e-11	5.10749e+02	-2.41728e+04	3.35900e+02	2.11291e-02
