PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.1392e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.43515e+03	3.58626e+02	5.98538e-04	1.12895e-10	6.77362e+01	-4.59945e+02	3.13928e+02	1.47270e-01
2.14286e+06	2.47994e+03	3.01668e+02	3.59626e-04	1.14971e-10	7.74364e+01	-6.36587e+02	3.13926e+02	1.21643e-01
1.53061e+06	2.52370e+03	2.54369e+02	2.16600e-04	1.17000e-10	8.86759e+01	-8.79791e+02	3.13925e+02	1.00792e-01
1.09329e+06	2.56177e+03	2.19481e+02	1.33495e-04	1.18765e-10	1.04250e+02	-1.21680e+03	3.13919e+02	8.56755e-02
7.80925e+05	2.59268e+03	1.93269e+02	8.39653e-05	1.20198e-10	1.25695e+02	-1.68619e+03	3.13917e+02	7.45438e-02
5.57803e+05	2.62314e+03	1.72920e+02	5.36607e-05	1.21610e-10	1.53997e+02	-2.33607e+03	3.13915e+02	6.59211e-02
3.98431e+05	2.65202e+03	1.57118e+02	3.48264e-05	1.22949e-10	1.91809e+02	-3.23758e+03	3.13912e+02	5.92446e-02
2.84594e+05	2.67915e+03	1.44641e+02	2.29006e-05	1.24207e-10	2.42371e+02	-4.48937e+03	3.13911e+02	5.39877e-02
2.03281e+05	2.70534e+03	1.34564e+02	1.52179e-05	1.25421e-10	3.09733e+02	-6.22702e+03	3.13911e+02	4.97402e-02
1.45201e+05	2.73031e+03	1.26370e+02	1.02080e-05	1.26578e-10	3.99940e+02	-8.64097e+03	3.13907e+02	4.62842e-02
1.03715e+05	2.75448e+03	1.19271e+02	6.88184e-06	1.27699e-10	5.19366e+02	-1.19944e+04	3.13908e+02	4.33007e-02
7.40820e+04	2.77768e+03	1.13148e+02	4.66326e-06	1.28774e-10	6.78460e+02	-1.66555e+04	3.13906e+02	4.07349e-02
