PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.1193e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	2.48084e+03	3.94065e+02	6.57685e-04	1.15013e-10	7.14660e+01	-4.49915e+02	3.11965e+02	1.58843e-01
2.14286e+06	2.53351e+03	3.33427e+02	3.97487e-04	1.17455e-10	8.18043e+01	-6.21582e+02	3.11963e+02	1.31607e-01
1.53061e+06	2.58368e+03	2.82174e+02	2.40277e-04	1.19781e-10	9.36907e+01	-8.57864e+02	3.11964e+02	1.09214e-01
1.09329e+06	2.62700e+03	2.43798e+02	1.48285e-04	1.21789e-10	1.09982e+02	-1.18509e+03	3.11958e+02	9.28046e-02
7.80925e+05	2.66204e+03	2.14572e+02	9.32203e-05	1.23414e-10	1.32249e+02	-1.64073e+03	3.11954e+02	8.06042e-02
5.57803e+05	2.69627e+03	1.91632e+02	5.94674e-05	1.25000e-10	1.61415e+02	-2.27112e+03	3.11953e+02	7.10731e-02
3.98431e+05	2.72797e+03	1.73975e+02	3.85629e-05	1.26470e-10	2.00616e+02	-3.14570e+03	3.11951e+02	6.37747e-02
2.84594e+05	2.75825e+03	1.59846e+02	2.53079e-05	1.27874e-10	2.52596e+02	-4.35871e+03	3.11946e+02	5.79520e-02
2.03281e+05	2.78700e+03	1.48738e+02	1.68208e-05	1.29207e-10	3.22469e+02	-6.04232e+03	3.11944e+02	5.33685e-02
1.45201e+05	2.81477e+03	1.39524e+02	1.12706e-05	1.30494e-10	4.15338e+02	-8.37906e+03	3.11943e+02	4.95685e-02
1.03715e+05	2.84132e+03	1.31687e+02	7.59826e-06	1.31725e-10	5.38772e+02	-1.16247e+04	3.11940e+02	4.63473e-02
7.40820e+04	2.86681e+03	1.24974e+02	5.15064e-06	1.32907e-10	7.03322e+02	-1.61337e+04	3.11939e+02	4.35933e-02
5.29157e+04	2.89159e+03	1.19082e+02	3.50557e-06	1.34056e-10	9.22404e+02	-2.23982e+04	3.11937e+02	4.11820e-02
3.77969e+04	2.91515e+03	1.13843e+02	2.39383e-06	1.35148e-10	1.21489e+03	-3.11094e+04	3.11935e+02	3.90522e-02
2.69978e+04	2.93567e+03	1.09180e+02	1.63983e-06	1.36099e-10	1.60868e+03	-4.32549e+04	3.11932e+02	3.71906e-02
1.92842e+04	2.95736e+03	1.04841e+02	1.12477e-06	1.37105e-10	2.13132e+03	-6.01203e+04	3.11930e+02	3.54509e-02
1.37744e+04	2.97848e+03	1.01061e+02	7.74436e-07	1.38084e-10	2.83592e+03	-8.35805e+04	3.11930e+02	3.39304e-02
9.83886e+03	2.99892e+03	9.76073e+01	5.34264e-07	1.39031e-10	3.78287e+03	-1.16226e+05	3.11927e+02	3.25475e-02
7.02775e+03	3.01889e+03	9.45212e+01	3.69552e-07	1.39957e-10	5.06132e+03	-1.61652e+05	3.11925e+02	3.13099e-02
5.01983e+03	3.03773e+03	9.16441e+01	2.55931e-07	1.40831e-10	6.78568e+03	-2.24925e+05	3.11923e+02	3.01686e-02
3.58559e+03	3.05622e+03	8.92180e+01	1.77968e-07	1.41688e-10	9.13745e+03	-3.13009e+05	3.11920e+02	2.91923e-02
2.56114e+03	3.07419e+03	8.70965e+01	1.24097e-07	1.42521e-10	1.23433e+04	-4.35673e+05	3.11919e+02	2.83315e-02
1.82938e+03	3.09170e+03	8.54178e+01	8.69325e-08	1.43333e-10	1.67567e+04	-6.06511e+05	3.11917e+02	2.76281e-02
1.30670e+03	3.10896e+03	8.41100e+01	6.11440e-08	1.44133e-10	2.28453e+04	-8.44429e+05	3.11918e+02	2.70541e-02
9.33358e+02	3.12602e+03	8.31913e+01	4.31972e-08	1.44924e-10	3.12903e+04	-1.17578e+06	3.11916e+02	2.66125e-02
6.66685e+02	3.14316e+03	8.25722e+01	3.06255e-08	1.45719e-10	4.30083e+04	-1.63714e+06	3.11915e+02	2.62704e-02
4.76203e+02	3.15976e+03	8.20198e+01	2.17290e-08	1.46488e-10	5.91829e+04	-2.27999e+06	3.11914e+02	2.59576e-02
3.40145e+02	3.17689e+03	8.22362e+01	1.55617e-08	1.47282e-10	8.21816e+04	-3.17478e+06	3.11912e+02	2.58857e-02
2.42961e+02	3.19358e+03	8.24007e+01	1.11377e-08	1.48056e-10	1.14083e+05	-4.42149e+06	3.11910e+02	2.58020e-02
1.73543e+02	3.21070e+03	8.27637e+01	7.99056e-09	1.48850e-10	1.58714e+05	-6.15710e+06	3.11909e+02	2.57775e-02
