PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.8394e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	4.31788e+02	3.63469e+01	6.06622e-05	2.00179e-11	2.21519e+02	-2.63156e+03	2.84023e+02	8.41777e-02
2.14286e+06	4.38662e+02	3.42842e+01	4.08712e-05	2.03366e-11	2.83706e+02	-3.62998e+03	2.84020e+02	7.81564e-02
1.53061e+06	4.45211e+02	3.31560e+01	2.82330e-05	2.06402e-11	3.73108e+02	-5.01001e+03	2.84017e+02	7.44725e-02
1.09329e+06	4.52150e+02	3.24369e+01	1.97290e-05	2.09619e-11	4.95656e+02	-6.90913e+03	2.84014e+02	7.17393e-02
7.80925e+05	4.58715e+02	3.16118e+01	1.37337e-05	2.12662e-11	6.57309e+02	-9.53812e+03	2.84012e+02	6.89139e-02
5.57803e+05	4.65195e+02	3.09903e+01	9.61692e-06	2.15666e-11	8.77454e+02	-1.31714e+04	2.84007e+02	6.66179e-02
3.98431e+05	4.71616e+02	3.04349e+01	6.74612e-06	2.18643e-11	1.17411e+03	-1.81939e+04	2.84003e+02	6.45332e-02
2.84594e+05	4.77941e+02	2.99403e+01	4.74035e-06	2.21576e-11	1.57490e+03	-2.51404e+04	2.83998e+02	6.26444e-02
2.03281e+05	4.84053e+02	2.94788e+01	3.33377e-06	2.24409e-11	2.11686e+03	-3.47596e+04	2.83989e+02	6.09000e-02
1.45201e+05	4.90296e+02	2.90900e+01	2.34986e-06	2.27304e-11	2.85104e+03	-4.80528e+04	2.83984e+02	5.93315e-02
1.03715e+05	4.96385e+02	2.86699e+01	1.65423e-06	2.30127e-11	3.83861e+03	-6.64609e+04	2.83983e+02	5.77574e-02
7.40820e+04	5.02244e+02	2.82534e+01	1.16443e-06	2.32843e-11	5.17402e+03	-9.19755e+04	2.83968e+02	5.62542e-02
5.29157e+04	5.07559e+02	2.77751e+01	8.17653e-07	2.35307e-11	6.97381e+03	-1.27439e+05	2.83919e+02	5.47228e-02
3.77969e+04	5.13430e+02	2.73601e+01	5.75313e-07	2.38029e-11	9.40025e+03	-1.76402e+05	2.83915e+02	5.32889e-02
2.69978e+04	5.19092e+02	2.69603e+01	4.04933e-07	2.40654e-11	1.26885e+04	-2.44303e+05	2.83914e+02	5.19375e-02
1.92842e+04	5.24654e+02	2.66460e+01	2.85866e-07	2.43232e-11	1.71885e+04	-3.38438e+05	2.83912e+02	5.07878e-02
1.37744e+04	5.30097e+02	2.64438e+01	2.02640e-07	2.45756e-11	2.33955e+04	-4.68991e+05	2.83911e+02	4.98847e-02
9.83886e+03	5.35547e+02	2.63916e+01	1.44458e-07	2.48282e-11	3.20291e+04	-6.49945e+05	2.83910e+02	4.92798e-02
7.02775e+03	5.41018e+02	2.64903e+01	1.03570e-07	2.50819e-11	4.41041e+04	-9.00749e+05	2.83911e+02	4.89638e-02
5.01983e+03	5.46561e+02	2.66448e+01	7.44097e-08	2.53388e-11	6.08537e+04	-1.24829e+06	2.83910e+02	4.87498e-02
3.58559e+03	5.52172e+02	2.68598e+01	5.35787e-08	2.55990e-11	8.41471e+04	-1.72986e+06	2.83908e+02	4.86439e-02
2.56114e+03	5.57854e+02	2.70453e+01	3.85349e-08	2.58624e-11	1.16218e+05	-2.39718e+06	2.83907e+02	4.84811e-02
1.82938e+03	5.63658e+02	2.72367e+01	2.77197e-08	2.61315e-11	1.60501e+05	-3.32154e+06	2.83906e+02	4.83214e-02
1.30670e+03	5.69489e+02	2.74053e+01	1.99223e-08	2.64018e-11	2.21490e+05	-4.60263e+06	2.83905e+02	4.81226e-02
9.33358e+02	5.75334e+02	2.75565e+01	1.43088e-08	2.66728e-11	3.05501e+05	-6.37835e+06	2.83904e+02	4.78965e-02
6.66685e+02	5.81182e+02	2.76941e+01	1.02716e-08	2.69439e-11	4.21240e+05	-8.84005e+06	2.83903e+02	4.76513e-02
4.76203e+02	5.87055e+02	2.78589e+01	7.38049e-09	2.72162e-11	5.81445e+05	-1.22525e+07	2.83903e+02	4.74553e-02
3.40145e+02	5.92971e+02	2.80207e+01	5.30240e-09	2.74904e-11	8.02510e+05	-1.69826e+07	2.83902e+02	4.72547e-02
2.42961e+02	5.98969e+02	2.81890e+01	3.81018e-09	2.77685e-11	1.10776e+06	-2.35381e+07	2.83901e+02	4.70626e-02
1.73543e+02	6.04933e+02	2.83218e+01	2.73437e-09	2.80450e-11	1.52764e+06	-3.26292e+07	2.83899e+02	4.68181e-02
1.23960e+02	6.10899e+02	2.84098e+01	1.95920e-09	2.83216e-11	2.10370e+06	-4.52360e+07	2.83899e+02	4.65049e-02
8.85426e+01	6.16877e+02	2.84589e+01	1.40184e-09	2.85987e-11	2.89346e+06	-6.27188e+07	2.83900e+02	4.61338e-02
6.32447e+01	6.22763e+02	2.85872e+01	1.00583e-09	2.88716e-11	3.99263e+06	-8.69783e+07	2.83901e+02	4.59037e-02
4.51748e+01	6.28580e+02	2.87458e+01	7.22437e-10	2.91413e-11	5.51724e+06	-1.20645e+08	2.83901e+02	4.57313e-02
3.22677e+01	6.34602e+02	2.90684e+01	5.21817e-10	2.94205e-11	7.66324e+06	-1.67299e+08	2.83899e+02	4.58057e-02
2.30484e+01	6.40403e+02	2.94820e+01	3.78030e-10	2.96894e-11	1.06847e+07	-2.32092e+08	2.83901e+02	4.60367e-02
1.64631e+01	6.46292e+02	3.01108e+01	2.75780e-10	2.99624e-11	1.49997e+07	-3.21951e+08	2.83902e+02	4.65901e-02
1.17594e+01	6.52388e+02	3.10187e+01	2.02925e-10	3.02450e-11	2.12285e+07	-4.46480e+08	2.83903e+02	4.75464e-02
8.39955e+00	6.58653e+02	3.21775e+01	1.50362e-10	3.05355e-11	3.02426e+07	-6.19048e+08	2.83901e+02	4.88534e-02
5.99968e+00	6.65326e+02	3.36496e+01	1.12315e-10	3.08449e-11	4.33855e+07	-8.57827e+08	2.83901e+02	5.05760e-02
4.28548e+00	6.72392e+02	3.52624e+01	8.40699e-11	3.11724e-11	6.23084e+07	-1.18811e+09	2.83901e+02	5.24432e-02
3.06106e+00	6.80283e+02	3.68451e+01	6.27453e-11	3.15382e-11	8.90285e+07	-1.64376e+09	2.83902e+02	5.41615e-02
2.18647e+00	6.88710e+02	3.82375e+01	4.65117e-11	3.19289e-11	1.26185e+08	-2.27277e+09	2.83904e+02	5.55205e-02
1.56176e+00	6.97382e+02	3.87958e+01	3.37077e-11	3.23310e-11	1.74806e+08	-3.14227e+09	2.83904e+02	5.56306e-02
1.11555e+00	7.05572e+02	3.91103e+01	2.42722e-11	3.27107e-11	2.41024e+08	-4.34821e+09	2.83909e+02	5.54307e-02
7.96819e-01	7.13839e+02	3.90405e+01	1.73063e-11	3.30939e-11	3.29102e+08	-6.01749e+09	2.83914e+02	5.46910e-02
5.69156e-01	7.21433e+02	3.95759e+01	1.25312e-11	3.34460e-11	4.57272e+08	-8.33565e+09	2.83919e+02	5.48574e-02
4.06540e-01	7.28795e+02	3.99270e+01	9.03025e-12	3.37873e-11	6.32883e+08	-1.15521e+10	2.83927e+02	5.47850e-02
2.90386e-01	7.35774e+02	4.07173e+01	6.57785e-12	3.41109e-11	8.86459e+08	-1.60186e+10	2.83928e+02	5.53394e-02
2.07419e-01	7.43275e+02	4.28013e+01	4.93894e-12	3.44586e-11	1.27804e+09	-2.21941e+10	2.83935e+02	5.75848e-02
