PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.3799e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.73378e+03	1.65798e+02	2.76713e-04	8.03789e-11	6.25443e+01	-6.54038e+02	3.38012e+02	9.56279e-02
2.14286e+06	1.74805e+03	1.32081e+02	1.57457e-04	8.10403e-11	6.88557e+01	-9.11283e+02	3.38008e+02	7.55591e-02
1.53061e+06	1.76417e+03	1.08352e+02	9.22638e-05	8.17879e-11	7.77906e+01	-1.26658e+03	3.38007e+02	6.14180e-02
1.09329e+06	1.77898e+03	9.09297e+01	5.53060e-05	8.24746e-11	8.99836e+01	-1.76047e+03	3.38006e+02	5.11133e-02
7.80925e+05	1.78907e+03	7.80210e+01	3.38961e-05	8.29423e-11	1.06953e+02	-2.45250e+03	3.38004e+02	4.36098e-02
5.57803e+05	1.80039e+03	6.76235e+01	2.09850e-05	8.34668e-11	1.28217e+02	-3.41360e+03	3.38002e+02	3.75606e-02
3.98431e+05	1.81075e+03	5.94926e+01	1.31870e-05	8.39473e-11	1.56169e+02	-4.75326e+03	3.37998e+02	3.28552e-02
2.84594e+05	1.82028e+03	5.30438e+01	8.39825e-06	8.43890e-11	1.92947e+02	-6.62126e+03	3.37998e+02	2.91405e-02
2.03281e+05	1.82904e+03	4.77397e+01	5.39891e-06	8.47950e-11	2.40832e+02	-9.22693e+03	3.37995e+02	2.61010e-02
1.45201e+05	1.83727e+03	4.35414e+01	3.51723e-06	8.51769e-11	3.04799e+02	-1.28613e+04	3.37994e+02	2.36989e-02
1.03715e+05	1.84493e+03	3.99623e+01	2.30579e-06	8.55320e-11	3.88434e+02	-1.79328e+04	3.37994e+02	2.16606e-02
7.40820e+04	1.85216e+03	3.70841e+01	1.52838e-06	8.58670e-11	5.00745e+02	-2.50096e+04	3.37995e+02	2.00221e-02
5.29157e+04	1.85882e+03	3.47435e+01	1.02279e-06	8.61759e-11	6.52128e+02	-3.48897e+04	3.37992e+02	1.86911e-02
3.77969e+04	1.86600e+03	3.29112e+01	6.92037e-07	8.65087e-11	8.58222e+02	-4.86596e+04	3.37992e+02	1.76373e-02
2.69978e+04	1.87233e+03	3.14291e+01	4.72052e-07	8.68023e-11	1.13969e+03	-6.78950e+04	3.37993e+02	1.67861e-02
1.92842e+04	1.87835e+03	3.01674e+01	3.23644e-07	8.70813e-11	1.52175e+03	-9.47507e+04	3.37996e+02	1.60606e-02
1.37744e+04	1.88438e+03	2.91271e+01	2.23202e-07	8.73609e-11	2.04388e+03	-1.32229e+05	3.37997e+02	1.54571e-02
9.83886e+03	1.88992e+03	2.83057e+01	1.54934e-07	8.76177e-11	2.76449e+03	-1.84581e+05	3.37998e+02	1.49772e-02
7.02775e+03	1.89544e+03	2.77587e+01	1.08529e-07	8.78736e-11	3.77347e+03	-2.57663e+05	3.37998e+02	1.46450e-02
5.01983e+03	1.90102e+03	2.73850e+01	7.64771e-08	8.81323e-11	5.18123e+03	-3.59672e+05	3.38000e+02	1.44054e-02
3.58559e+03	1.90644e+03	2.73316e+01	5.45198e-08	8.83835e-11	7.19848e+03	-5.02110e+05	3.38002e+02	1.43364e-02
2.56114e+03	1.91198e+03	2.74360e+01	3.90915e-08	8.86402e-11	1.00579e+04	-7.00918e+05	3.38002e+02	1.43496e-02
1.82938e+03	1.91756e+03	2.77476e+01	2.82396e-08	8.88990e-11	1.41581e+04	-9.78426e+05	3.38004e+02	1.44703e-02
1.30670e+03	1.92337e+03	2.81632e+01	2.04733e-08	8.91685e-11	1.99967e+04	-1.36565e+06	3.38004e+02	1.46426e-02
9.33358e+02	1.92933e+03	2.86582e+01	1.48808e-08	8.94448e-11	2.83115e+04	-1.90599e+06	3.38003e+02	1.48539e-02
6.66685e+02	1.93550e+03	2.92002e+01	1.08302e-08	8.97308e-11	4.01284e+04	-2.65986e+06	3.38003e+02	1.50866e-02
4.76203e+02	1.94184e+03	2.97181e+01	7.87305e-09	9.00248e-11	5.68031e+04	-3.71163e+06	3.38001e+02	1.53041e-02
3.40145e+02	1.94817e+03	3.01766e+01	5.71037e-09	9.03181e-11	8.02271e+04	-5.17937e+06	3.37999e+02	1.54897e-02
2.42961e+02	1.95450e+03	3.07566e+01	4.15723e-09	9.06115e-11	1.13735e+05	-7.22758e+06	3.37996e+02	1.57363e-02
1.73543e+02	1.96072e+03	3.15039e+01	3.04160e-09	9.09001e-11	1.62063e+05	-1.00864e+07	3.37993e+02	1.60675e-02
1.23960e+02	1.96688e+03	3.27160e+01	2.25616e-09	9.11854e-11	2.34141e+05	-1.40765e+07	3.37992e+02	1.66335e-02
8.85426e+01	1.97288e+03	3.43261e+01	1.69085e-09	9.14635e-11	3.41833e+05	-1.96467e+07	3.37988e+02	1.73990e-02
6.32447e+01	1.97949e+03	3.69125e+01	1.29875e-09	9.17702e-11	5.11167e+05	-2.74122e+07	3.37985e+02	1.86475e-02
4.51748e+01	1.98651e+03	4.00724e+01	1.00709e-09	9.20957e-11	7.71368e+05	-3.82391e+07	3.37982e+02	2.01722e-02
3.22677e+01	1.99440e+03	4.41447e+01	7.92458e-10	9.24615e-11	1.18017e+06	-5.33186e+07	3.37980e+02	2.21343e-02
2.30484e+01	2.00357e+03	4.90315e+01	6.28702e-10	9.28863e-11	1.81819e+06	-7.42965e+07	3.37980e+02	2.44721e-02
1.64631e+01	2.01436e+03	5.47445e+01	5.01397e-10	9.33869e-11	2.81128e+06	-1.03443e+08	3.37980e+02	2.71771e-02
1.17594e+01	2.02750e+03	5.98611e+01	3.91614e-10	9.39960e-11	4.24748e+06	-1.43863e+08	3.37978e+02	2.95246e-02
8.39955e+00	2.04330e+03	6.38976e+01	2.98586e-10	9.47284e-11	6.24902e+06	-1.99830e+08	3.37977e+02	3.12718e-02
5.99968e+00	2.06006e+03	6.55060e+01	2.18644e-10	9.55052e-11	8.82324e+06	-2.77477e+08	3.37977e+02	3.17981e-02
4.28548e+00	2.07684e+03	6.40651e+01	1.52739e-10	9.62832e-11	1.18871e+07	-3.85351e+08	3.37974e+02	3.08475e-02
3.06106e+00	2.09222e+03	6.05187e+01	1.03060e-10	9.69962e-11	1.54922e+07	-5.35587e+08	3.37974e+02	2.89256e-02
2.18647e+00	2.10525e+03	5.65979e+01	6.88452e-11	9.76004e-11	2.00359e+07	-7.45265e+08	3.37971e+02	2.68842e-02
1.56176e+00	2.11648e+03	5.25153e+01	4.56280e-11	9.81209e-11	2.57542e+07	-1.03795e+09	3.37969e+02	2.48126e-02
1.11555e+00	2.12628e+03	4.90654e+01	3.04503e-11	9.85754e-11	3.33800e+07	-1.44655e+09	3.37966e+02	2.30757e-02
7.96819e-01	2.13493e+03	4.69909e+01	2.08306e-11	9.89765e-11	4.43964e+07	-2.01706e+09	3.37962e+02	2.20105e-02
5.69156e-01	2.14408e+03	4.48621e+01	1.42050e-11	9.94006e-11	5.88367e+07	-2.81196e+09	3.37966e+02	2.09237e-02
4.06540e-01	2.15197e+03	4.31052e+01	9.74905e-12	9.97664e-11	7.85689e+07	-3.92245e+09	3.37985e+02	2.00305e-02
2.90386e-01	2.16089e+03	4.21289e+01	6.80589e-12	1.00180e-10	1.06622e+08	-5.46888e+09	3.37978e+02	1.94961e-02
2.07419e-01	2.16965e+03	4.14836e+01	4.78689e-12	1.00586e-10	1.45802e+08	-7.62564e+09	3.37966e+02	1.91200e-02
1.48156e-01	2.17685e+03	4.07418e+01	3.35807e-12	1.00920e-10	1.99151e+08	-1.06407e+10	3.37984e+02	1.87159e-02
1.05826e-01	2.18504e+03	4.03887e+01	2.37783e-12	1.01300e-10	2.74330e+08	-1.48413e+10	3.37977e+02	1.84842e-02
