PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.4194e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.63947e+03	1.48531e+02	2.47895e-04	7.60068e-11	6.27204e+01	-6.92303e+02	3.41955e+02	9.05968e-02
2.14286e+06	1.65204e+03	1.17432e+02	1.39994e-04	7.65893e-11	6.85861e+01	-9.64872e+02	3.41955e+02	7.10831e-02
1.53061e+06	1.66579e+03	9.59435e+01	8.16977e-05	7.72269e-11	7.72934e+01	-1.34199e+03	3.41951e+02	5.75963e-02
1.09329e+06	1.67864e+03	8.02591e+01	4.88158e-05	7.78226e-11	8.92324e+01	-1.86632e+03	3.41948e+02	4.78120e-02
7.80925e+05	1.68736e+03	6.85312e+01	2.97733e-05	7.82266e-11	1.05639e+02	-2.60100e+03	3.41946e+02	4.06146e-02
5.57803e+05	1.69714e+03	5.91670e+01	1.83607e-05	7.86801e-11	1.26273e+02	-3.62198e+03	3.41945e+02	3.48628e-02
3.98431e+05	1.70613e+03	5.18578e+01	1.14947e-05	7.90969e-11	1.53359e+02	-5.04553e+03	3.41946e+02	3.03951e-02
2.84594e+05	1.71424e+03	4.60587e+01	7.29232e-06	7.94729e-11	1.88931e+02	-7.03174e+03	3.41942e+02	2.68683e-02
2.03281e+05	1.72178e+03	4.13642e+01	4.67790e-06	7.98228e-11	2.35500e+02	-9.80270e+03	3.41940e+02	2.40240e-02
1.45201e+05	1.72888e+03	3.76021e+01	3.03746e-06	8.01518e-11	2.97289e+02	-1.36689e+04	3.41940e+02	2.17494e-02
1.03715e+05	1.73548e+03	3.44806e+01	1.98950e-06	8.04575e-11	3.78789e+02	-1.90652e+04	3.41940e+02	1.98681e-02
7.40820e+04	1.74153e+03	3.20169e+01	1.31954e-06	8.07382e-11	4.89024e+02	-2.66000e+04	3.41939e+02	1.83844e-02
5.29157e+04	1.74743e+03	3.00855e+01	8.85669e-07	8.10118e-11	6.39021e+02	-3.71157e+04	3.41937e+02	1.72170e-02
3.77969e+04	1.75284e+03	2.85415e+01	6.00154e-07	8.12627e-11	8.43511e+02	-5.18033e+04	3.41936e+02	1.62830e-02
2.69978e+04	1.75834e+03	2.73448e+01	4.10708e-07	8.15175e-11	1.12437e+03	-7.22996e+04	3.41937e+02	1.55515e-02
1.92842e+04	1.76385e+03	2.63176e+01	2.82343e-07	8.17730e-11	1.50556e+03	-1.00905e+05	3.41937e+02	1.49205e-02
1.37744e+04	1.76905e+03	2.54923e+01	1.95349e-07	8.20141e-11	2.02973e+03	-1.40854e+05	3.41933e+02	1.44102e-02
9.83886e+03	1.77416e+03	2.49272e+01	1.36442e-07	8.22509e-11	2.76268e+03	-1.96630e+05	3.41933e+02	1.40501e-02
7.02775e+03	1.77893e+03	2.44828e+01	9.57210e-08	8.24721e-11	3.77847e+03	-2.74545e+05	3.41932e+02	1.37627e-02
5.01983e+03	1.78394e+03	2.42785e+01	6.78017e-08	8.27045e-11	5.21631e+03	-3.83285e+05	3.41931e+02	1.36095e-02
3.58559e+03	1.78857e+03	2.43552e+01	4.85827e-08	8.29191e-11	7.28802e+03	-5.35210e+05	3.41931e+02	1.36171e-02
2.56114e+03	1.79359e+03	2.45524e+01	3.49829e-08	8.31519e-11	1.02283e+04	-7.47195e+05	3.41931e+02	1.36889e-02
