PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.2996e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.94177e+03	2.07658e+02	3.46577e-04	9.00213e-11	6.23112e+01	-5.82659e+02	3.30031e+02	1.06943e-01
2.14286e+06	1.96128e+03	1.67574e+02	1.99770e-04	9.09261e-11	6.92861e+01	-8.10923e+02	3.30027e+02	8.54411e-02
1.53061e+06	1.98360e+03	1.39240e+02	1.18566e-04	9.19605e-11	7.89824e+01	-1.12517e+03	3.30023e+02	7.01958e-02
1.09329e+06	2.00339e+03	1.18501e+02	7.20755e-05	9.28784e-11	9.23861e+01	-1.56190e+03	3.30020e+02	5.91500e-02
7.80925e+05	2.01910e+03	1.02968e+02	4.47342e-05	9.36065e-11	1.10744e+02	-2.17159e+03	3.30012e+02	5.09969e-02
5.57803e+05	2.03494e+03	9.04973e+01	2.80832e-05	9.43406e-11	1.34235e+02	-3.01844e+03	3.30006e+02	4.44718e-02
3.98431e+05	2.04964e+03	8.06348e+01	1.78733e-05	9.50221e-11	1.65127e+02	-4.19731e+03	3.30004e+02	3.93410e-02
2.84594e+05	2.06339e+03	7.27519e+01	1.15186e-05	9.56598e-11	2.05868e+02	-5.83883e+03	3.29997e+02	3.52584e-02
2.03281e+05	2.07701e+03	6.62646e+01	7.49390e-06	9.62912e-11	2.59142e+02	-8.12259e+03	3.29964e+02	3.19039e-02
1.45201e+05	2.08905e+03	6.08611e+01	4.91630e-06	9.68492e-11	3.29442e+02	-1.13080e+04	3.29958e+02	2.91335e-02
1.03715e+05	2.10014e+03	5.61975e+01	3.24255e-06	9.73636e-11	4.21445e+02	-1.57497e+04	3.29957e+02	2.67589e-02
7.40820e+04	2.11050e+03	5.22985e+01	2.15542e-06	9.78436e-11	5.43767e+02	-2.19436e+04	3.29953e+02	2.47802e-02
5.29157e+04	2.12016e+03	4.89601e+01	1.44131e-06	9.82914e-11	7.06257e+02	-3.05836e+04	3.29952e+02	2.30927e-02
3.77969e+04	2.12941e+03	4.61766e+01	9.70975e-07	9.87203e-11	9.24520e+02	-4.26337e+04	3.29952e+02	2.16852e-02
2.69978e+04	2.13827e+03	4.38436e+01	6.58513e-07	9.91313e-11	1.21883e+03	-5.94426e+04	3.29951e+02	2.05042e-02
1.92842e+04	2.14679e+03	4.18556e+01	4.49038e-07	9.95263e-11	1.61614e+03	-8.28927e+04	3.29949e+02	1.94968e-02
1.37744e+04	2.15499e+03	4.00949e+01	3.07250e-07	9.99063e-11	2.15104e+03	-1.15612e+05	3.29952e+02	1.86056e-02
9.83886e+03	2.16282e+03	3.86891e+01	2.11769e-07	1.00270e-10	2.88493e+03	-1.61275e+05	3.29951e+02	1.78882e-02
7.02775e+03	2.17061e+03	3.74999e+01	1.46614e-07	1.00630e-10	3.88682e+03	-2.24981e+05	3.29952e+02	1.72763e-02
5.01983e+03	2.17793e+03	3.66408e+01	1.02325e-07	1.00970e-10	5.28125e+03	-3.13918e+05	3.29951e+02	1.68237e-02
3.58559e+03	2.18543e+03	3.60630e+01	7.19368e-08	1.01317e-10	7.22740e+03	-4.37983e+05	3.29952e+02	1.65016e-02
2.56114e+03	2.19268e+03	3.56994e+01	5.08654e-08	1.01654e-10	9.95030e+03	-6.11153e+05	3.29952e+02	1.62812e-02
1.82938e+03	2.19988e+03	3.56356e+01	3.62675e-08	1.01988e-10	1.38146e+04	-8.52813e+05	3.29950e+02	1.61988e-02
1.30670e+03	2.20701e+03	3.58078e+01	2.60305e-08	1.02318e-10	1.93086e+04	-1.19008e+06	3.29949e+02	1.62246e-02
9.33358e+02	2.21456e+03	3.61527e+01	1.87724e-08	1.02668e-10	2.71065e+04	-1.66043e+06	3.29948e+02	1.63250e-02
6.66685e+02	2.22213e+03	3.66356e+01	1.35879e-08	1.03019e-10	3.81943e+04	-2.31667e+06	3.29948e+02	1.64867e-02
4.76203e+02	2.22983e+03	3.70872e+01	9.82530e-09	1.03376e-10	5.37575e+04	-3.23212e+06	3.29948e+02	1.66323e-02
3.40145e+02	2.23741e+03	3.74968e+01	7.09557e-09	1.03728e-10	7.55766e+04	-4.50962e+06	3.29947e+02	1.67590e-02
2.42961e+02	2.24526e+03	3.78923e+01	5.12173e-09	1.04091e-10	1.06177e+05	-6.29137e+06	3.29945e+02	1.68766e-02
1.73543e+02	2.25282e+03	3.84652e+01	3.71369e-09	1.04442e-10	1.49882e+05	-8.77829e+06	3.29945e+02	1.70742e-02
1.23960e+02	2.26051e+03	3.92377e+01	2.70591e-09	1.04798e-10	2.12595e+05	-1.22477e+07	3.29944e+02	1.73579e-02
8.85426e+01	2.26802e+03	4.04036e+01	1.99022e-09	1.05146e-10	3.04446e+05	-1.70898e+07	3.29943e+02	1.78145e-02
6.32447e+01	2.27548e+03	4.22157e+01	1.48534e-09	1.05492e-10	4.42412e+05	-2.38466e+07	3.29946e+02	1.85524e-02
